,fibro,endo,immune
KCNN4,1.0,0.0,4.0
KCNQ1,3.0,54.0,20.0
KCNQ1DN,0.0,0.0,0.0
KCNQ2,2.0,0.0,0.0
KCNQ3,2.0,2.0,6.0
KCNQ4,0.0,1.0,0.0
KCNQ5,1.0,0.0,0.0
KCNQ5.IT1,0.0,0.0,0.0
KCNRG,0.0,0.0,0.0
KCNS1,0.0,0.0,0.0
KCNS2,0.0,0.0,0.0
KCNS3,20.0,3.0,0.0
KCNT1,0.0,0.0,0.0
KCNT2,3.0,1.0,0.0
KCNU1,0.0,0.0,0.0
KCNV1,0.0,0.0,0.0
KCNV2,0.0,0.0,0.0
KCP,0.0,0.0,0.0
KCTD1,14.0,9.0,0.0
KCTD10,74.0,61.0,11.0
KCTD11,29.0,11.0,2.0
KCTD12,21.0,111.0,59.0
KCTD13,11.0,7.0,8.0
KCTD14,1.0,1.0,0.0
KCTD15,20.0,40.0,2.0
KCTD16,0.0,1.0,1.0
KCTD17,29.0,15.0,8.0
KCTD18,11.0,5.0,6.0
KCTD19,0.0,0.0,0.0
KCTD2,26.0,22.0,13.0
KCTD20,147.0,177.0,27.0
KCTD21,2.0,5.0,2.0
KCTD3,36.0,43.0,3.0
KCTD4,0.0,0.0,1.0
KCTD5,39.0,46.0,33.0
KCTD6,8.0,10.0,0.0
KCTD7,22.0,4.0,7.0
KCTD8,0.0,0.0,2.0
KCTD9,22.0,28.0,2.0
KDELC1,11.0,11.0,0.0
KDELC2,65.0,31.0,1.0
KDELR1,506.0,234.0,125.0
KDELR2,632.0,255.0,76.0
KDELR3,69.0,24.0,1.0
KDF1,2.0,1.0,1.0
KDM1A,47.0,32.0,11.0
KDM1B,22.0,15.0,6.0
KDM2A,94.0,98.0,41.0
KDM2B,17.0,26.0,11.0
KDM3A,52.0,75.0,11.0
KDM3B,29.0,23.0,11.0
KDM4A,25.0,24.0,9.0
KDM4B,57.0,36.0,14.0
KDM4C,5.0,6.0,2.0
KDM4D,0.0,0.0,1.0
KDM4E,0.0,0.0,0.0
KDM5A,74.0,86.0,24.0
KDM5B,90.0,71.0,3.0
KDM5C,83.0,69.0,17.0
KDM5D,12.0,11.0,2.0
KDM6A,8.0,17.0,5.0
KDM6B,80.0,70.0,18.0
KDM7A,37.0,39.0,12.0
KDM8,1.0,2.0,1.0
KDR,0.0,712.0,0.0
KDSR,81.0,69.0,22.0
KEAP1,84.0,73.0,20.0
KEL,0.0,0.0,0.0
KERA,0.0,0.0,0.0
KHDC1,1.0,0.0,0.0
KHDC1L,0.0,0.0,0.0
KHDC3L,0.0,0.0,0.0
KHDRBS1,218.0,233.0,52.0
KHDRBS2,0.0,0.0,0.0
KHDRBS3,43.0,21.0,1.0
KHK,3.0,0.0,1.0
KHNYN,38.0,39.0,9.0
KHSRP,153.0,128.0,56.0
KIAA0020,28.0,29.0,7.0
KIAA0040,44.0,33.0,9.0
KIAA0087,0.0,0.0,0.0
KIAA0100,94.0,68.0,42.0
KIAA0101,6.0,1.0,15.0
KIAA0125,0.0,0.0,0.0
KIAA0141,15.0,34.0,6.0
KIAA0195,16.0,16.0,13.0
KIAA0196,59.0,35.0,21.0
KIAA0226,0.0,1.0,0.0
KIAA0226L,0.0,0.0,3.0
KIAA0232,25.0,14.0,8.0
KIAA0319,1.0,1.0,1.0
KIAA0319L,43.0,54.0,26.0
KIAA0355,38.0,129.0,8.0
KIAA0368,56.0,55.0,21.0
KIAA0391,10.0,13.0,4.0
KIAA0408,0.0,2.0,1.0
KIAA0430,35.0,35.0,12.0
KIAA0513,11.0,13.0,15.0
KIAA0556,9.0,5.0,0.0
KIAA0586,5.0,9.0,1.0
KIAA0753,20.0,9.0,1.0
KIAA0825,4.0,2.0,0.0
KIAA0895,4.0,2.0,1.0
KIAA0895L,15.0,11.0,0.0
KIAA0907,32.0,22.0,8.0
KIAA0922,5.0,10.0,2.0
KIAA0930,61.0,46.0,137.0
KIAA1024,2.0,0.0,0.0
KIAA1033,19.0,18.0,16.0
KIAA1109,30.0,37.0,7.0
KIAA1143,24.0,33.0,9.0
KIAA1147,11.0,149.0,13.0
KIAA1161,0.0,1.0,0.0
KIAA1191,104.0,127.0,19.0
KIAA1211,0.0,0.0,0.0
KIAA1211L,0.0,15.0,2.0
KIAA1217,11.0,35.0,2.0
KIAA1257,0.0,1.0,0.0
KIAA1324,50.0,41.0,39.0
KIAA1324L,3.0,2.0,0.0
KIAA1328,9.0,1.0,1.0
KIAA1407,1.0,5.0,0.0
KIAA1429,53.0,46.0,7.0
KIAA1456,0.0,0.0,1.0
KIAA1467,4.0,3.0,0.0
KIAA1468,9.0,10.0,3.0
KIAA1522,4.0,13.0,13.0
KIAA1524,4.0,1.0,0.0
KIAA1549,3.0,7.0,2.0
KIAA1549L,8.0,0.0,0.0
KIAA1551,10.0,43.0,9.0
KIAA1586,9.0,1.0,1.0
KIAA1614,4.0,0.0,2.0
KIAA1671,1.0,34.0,0.0
KIAA1683,1.0,0.0,0.0
KIAA1715,38.0,13.0,6.0
KIAA1755,35.0,2.0,0.0
KIAA1841,1.0,5.0,6.0
KIAA1875,0.0,0.0,0.0
KIAA1919,6.0,2.0,2.0
KIAA1958,5.0,4.0,1.0
KIAA2012,0.0,0.0,0.0
KIAA2013,118.0,99.0,27.0
KIAA2018,19.0,16.0,5.0
KIAA2022,1.0,1.0,1.0
KIDINS220,69.0,50.0,16.0
KIF11,1.0,3.0,2.0
KIF12,3.0,5.0,4.0
KIF13A,31.0,47.0,20.0
KIF13B,6.0,9.0,8.0
KIF14,2.0,4.0,0.0
KIF15,1.0,1.0,1.0
KIF16B,10.0,7.0,7.0
KIF17,3.0,19.0,1.0
KIF18A,0.0,0.0,0.0
KIF18B,0.0,0.0,0.0
KIF19,0.0,0.0,0.0
KIF1A,6.0,15.0,6.0
KIF1B,39.0,46.0,13.0
KIF1BP,28.0,38.0,9.0
KIF1C,64.0,60.0,24.0
KIF20A,5.0,0.0,0.0
KIF20B,3.0,2.0,3.0
KIF21A,7.0,6.0,11.0
KIF21B,25.0,18.0,4.0
KIF22,23.0,12.0,8.0
KIF23,6.0,1.0,0.0
KIF25,0.0,1.0,0.0
KIF26A,2.0,26.0,0.0
KIF26B,10.0,1.0,1.0
KIF27,0.0,1.0,0.0
KIF2A,17.0,15.0,12.0
KIF2B,0.0,0.0,0.0
KIF2C,0.0,1.0,3.0
KIF3A,2.0,7.0,4.0
KIF3B,52.0,57.0,19.0
KIF3C,5.0,14.0,2.0
KIF4A,0.0,0.0,0.0
KIF4B,0.0,0.0,0.0
KIF5A,0.0,0.0,0.0
KIF5B,154.0,160.0,41.0
KIF5C,7.0,7.0,8.0
KIF6,0.0,0.0,0.0
KIF7,0.0,0.0,0.0
KIF9,9.0,21.0,3.0
KIFAP3,32.0,22.0,7.0
KIFC1,1.0,2.0,2.0
KIFC2,3.0,2.0,3.0
KIFC3,91.0,108.0,22.0
KIN,20.0,29.0,4.0
KIR2DL1,0.0,0.0,0.0
KIR2DL3,0.0,0.0,0.0
KIR2DL4,0.0,0.0,0.0
KIR2DS4,0.0,0.0,0.0
KIR3DL1,0.0,0.0,0.0
KIR3DL2,0.0,0.0,0.0
KIR3DL3,0.0,0.0,0.0
KIR3DX1,0.0,0.0,0.0
KIRREL,129.0,21.0,0.0
KIRREL.IT1,0.0,0.0,0.0
KIRREL2,0.0,0.0,1.0
KIRREL3,1.0,0.0,0.0
KISS1,0.0,0.0,0.0
KISS1R,0.0,0.0,0.0
KIT,5.0,71.0,83.0
KITLG,37.0,30.0,0.0
KIZ,12.0,5.0,1.0
KL,0.0,5.0,0.0
KLB,3.0,0.0,0.0
KLC1,183.0,117.0,34.0
KLC2,12.0,6.0,8.0
KLC3,0.0,0.0,1.0
KLC4,14.0,12.0,2.0
KLF1,1.0,0.0,0.0
KLF10,133.0,93.0,22.0
KLF11,36.0,50.0,14.0
KLF12,14.0,6.0,1.0
KLF13,111.0,108.0,43.0
KLF14,1.0,0.0,0.0
KLF15,1.0,0.0,0.0
KLF16,21.0,37.0,9.0
KLF17,0.0,0.0,0.0
KLF2,43.0,483.0,13.0
KLF3,33.0,112.0,14.0
KLF4,13.0,59.0,2.0
KLF5,2.0,0.0,1.0
KLF6,123.0,226.0,136.0
KLF7,107.0,103.0,18.0
KLF7.IT1,1.0,0.0,0.0
KLF8,0.0,0.0,1.0
KLF9,514.0,68.0,14.0
KLHDC1,4.0,4.0,1.0
KLHDC10,74.0,75.0,15.0
KLHDC2,61.0,39.0,12.0
KLHDC3,104.0,86.0,28.0
KLHDC4,11.0,12.0,3.0
KLHDC7A,56.0,49.0,12.0
KLHDC7B,0.0,0.0,3.0
KLHDC8A,1.0,63.0,0.0
KLHDC8B,16.0,20.0,18.0
KLHDC9,3.0,4.0,0.0
KLHL1,0.0,0.0,0.0
KLHL10,0.0,0.0,0.0
KLHL11,0.0,0.0,0.0
KLHL12,19.0,22.0,13.0
KLHL13,12.0,2.0,0.0
KLHL14,0.0,2.0,0.0
KLHL15,12.0,7.0,5.0
KLHL17,0.0,4.0,0.0
KLHL18,15.0,15.0,6.0
KLHL2,21.0,30.0,16.0
KLHL20,36.0,28.0,10.0
KLHL21,41.0,47.0,15.0
KLHL22,19.0,15.0,10.0
KLHL23,4.0,3.0,1.0
KLHL24,80.0,60.0,15.0
KLHL25,7.0,7.0,0.0
KLHL26,37.0,19.0,5.0
KLHL28,15.0,7.0,1.0
KLHL29,8.0,7.0,0.0
KLHL3,0.0,10.0,1.0
KLHL31,0.0,0.0,0.0
KLHL32,0.0,0.0,0.0
KLHL34,1.0,0.0,0.0
KLHL35,2.0,0.0,0.0
KLHL36,39.0,39.0,16.0
KLHL38,0.0,0.0,0.0
KLHL4,0.0,8.0,0.0
KLHL40,0.0,0.0,0.0
KLHL41,1.0,8.0,7.0
KLHL42,42.0,31.0,7.0
KLHL5,36.0,73.0,10.0
KLHL6,13.0,7.0,24.0
KLHL7,22.0,12.0,2.0
KLHL8,17.0,16.0,3.0
KLHL9,15.0,20.0,2.0
KLK1,2.0,5.0,3.0
KLK10,0.0,26.0,0.0
KLK11,0.0,0.0,0.0
KLK12,0.0,0.0,0.0
KLK13,0.0,0.0,0.0
KLK14,0.0,0.0,0.0
KLK15,0.0,0.0,0.0
KLK2,0.0,0.0,0.0
KLK3,0.0,0.0,0.0
KLK4,0.0,0.0,0.0
KLK5,0.0,0.0,0.0
KLK6,0.0,0.0,0.0
KLK7,0.0,0.0,0.0
KLK8,0.0,0.0,0.0
KLK9,0.0,0.0,0.0
KLKB1,1.0,0.0,0.0
KLKP1,0.0,0.0,0.0
KLLN,0.0,0.0,0.0
KLRAP1,0.0,0.0,0.0
KLRB1,0.0,0.0,4.0
KLRC1,0.0,0.0,1.0
KLRC2,0.0,0.0,0.0
KLRC3,0.0,0.0,0.0
KLRC4,0.0,0.0,0.0
KLRC4.KLRK1,0.0,0.0,0.0
KLRD1,0.0,0.0,2.0
KLRF1,0.0,0.0,0.0
KLRF2,0.0,0.0,0.0
KLRG1,0.0,1.0,4.0
KLRG2,0.0,0.0,0.0
KLRK1,0.0,0.0,0.0
KMO,0.0,0.0,3.0
KMT2A,92.0,91.0,25.0
KMT2B,31.0,22.0,10.0
KMT2C,41.0,36.0,24.0
KMT2E,96.0,135.0,44.0
KNCN,0.0,0.0,0.0
KNDC1,0.0,3.0,1.0
KNG1,0.0,0.0,0.0
KNOP1,27.0,47.0,3.0
KNSTRN,20.0,6.0,1.0
KNTC1,3.0,1.0,3.0
KPNA1,31.0,59.0,13.0
KPNA2,63.0,44.0,13.0
KPNA3,43.0,59.0,11.0
KPNA4,71.0,89.0,27.0
KPNA5,8.0,14.0,9.0
KPNA6,96.0,79.0,25.0
KPNA7,0.0,0.0,0.0
KPNB1,374.0,241.0,141.0
KPRP,0.0,0.0,0.0
KPTN,8.0,10.0,2.0
KRAS,32.0,41.0,15.0
KRBA1,6.0,7.0,3.0
KRBA2,1.0,0.0,1.0
KRBOX1,3.0,1.0,0.0
KRBOX4,11.0,7.0,3.0
KRCC1,36.0,61.0,8.0
KREMEN1,18.0,2.0,10.0
KREMEN2,0.0,0.0,0.0
KRI1,24.0,21.0,6.0
KRIT1,28.0,4.0,5.0
KRR1,29.0,28.0,9.0
KRT1,3.0,0.0,58.0
KRT10,177.0,138.0,39.0
KRT12,0.0,0.0,0.0
KRT13,1.0,0.0,0.0
KRT14,0.0,0.0,0.0
KRT15,0.0,0.0,0.0
KRT16,0.0,0.0,0.0
KRT16P1,0.0,0.0,0.0
KRT16P3,0.0,0.0,0.0
KRT16P6,0.0,0.0,0.0
KRT17,2.0,2.0,2.0
KRT17P1,0.0,0.0,0.0
KRT17P2,0.0,0.0,0.0
KRT17P5,0.0,0.0,0.0
KRT18,52.0,14.0,6.0
KRT18P55,0.0,0.0,0.0
KRT18P59,0.0,0.0,0.0
KRT19,4.0,6.0,11.0
KRT2,0.0,0.0,0.0
KRT20,0.0,0.0,0.0
KRT222,0.0,1.0,1.0
KRT223P,0.0,0.0,0.0
KRT23,0.0,0.0,0.0
KRT24,0.0,0.0,0.0
KRT25,0.0,0.0,0.0
KRT26,0.0,0.0,0.0
KRT27,0.0,0.0,0.0
KRT28,0.0,0.0,0.0
KRT3,6.0,0.0,0.0
KRT31,0.0,0.0,0.0
KRT32,0.0,0.0,0.0
KRT33A,0.0,0.0,0.0
KRT33B,0.0,0.0,0.0
KRT34,0.0,0.0,0.0
KRT35,0.0,0.0,0.0
KRT36,0.0,0.0,0.0
KRT37,0.0,0.0,0.0
KRT38,0.0,0.0,0.0
KRT39,0.0,0.0,0.0
KRT4,0.0,0.0,0.0
KRT40,1.0,0.0,0.0
KRT42P,0.0,0.0,0.0
KRT5,0.0,0.0,0.0
KRT6A,0.0,0.0,0.0
KRT6B,0.0,0.0,0.0
KRT6C,0.0,0.0,0.0
KRT7,3.0,2.0,0.0
KRT71,0.0,0.0,0.0
KRT72,0.0,0.0,0.0
KRT73,0.0,0.0,0.0
KRT74,0.0,0.0,0.0
KRT75,0.0,0.0,0.0
KRT76,0.0,0.0,0.0
KRT77,0.0,0.0,0.0
KRT78,0.0,0.0,0.0
KRT79,1.0,0.0,0.0
KRT8,32.0,20.0,17.0
KRT80,0.0,0.0,0.0
KRT81,0.0,0.0,0.0
KRT82,0.0,0.0,0.0
KRT83,0.0,0.0,0.0
KRT84,0.0,0.0,0.0
KRT85,0.0,0.0,0.0
KRT86,0.0,0.0,0.0
KRT87P,0.0,0.0,0.0
KRT8P12,1.0,1.0,3.0
KRT9,0.0,0.0,0.0
KRTAP1.1,0.0,0.0,0.0
KRTAP1.3,0.0,0.0,0.0
KRTAP1.4,0.0,0.0,0.0
KRTAP1.5,0.0,0.0,0.0
KRTAP10.1,0.0,0.0,0.0
KRTAP10.10,0.0,0.0,0.0
KRTAP10.11,0.0,0.0,0.0
KRTAP10.12,0.0,0.0,0.0
KRTAP10.2,0.0,0.0,0.0
KRTAP10.3,0.0,0.0,0.0
KRTAP10.4,0.0,0.0,0.0
KRTAP10.5,0.0,0.0,0.0
KRTAP10.6,0.0,0.0,0.0
KRTAP10.7,0.0,0.0,0.0
KRTAP10.8,0.0,0.0,0.0
KRTAP10.9,0.0,0.0,0.0
KRTAP11.1,0.0,0.0,0.0
KRTAP12.1,0.0,0.0,0.0
KRTAP12.2,0.0,0.0,0.0
KRTAP12.3,0.0,0.0,0.0
KRTAP12.4,0.0,0.0,0.0
KRTAP13.1,0.0,0.0,0.0
KRTAP13.2,0.0,0.0,0.0
KRTAP13.3,0.0,0.0,0.0
KRTAP13.4,0.0,0.0,0.0
KRTAP15.1,0.0,0.0,0.0
KRTAP16.1,0.0,0.0,0.0
KRTAP17.1,0.0,0.0,0.0
KRTAP19.1,0.0,0.0,0.0
KRTAP19.2,0.0,0.0,0.0
KRTAP19.3,0.0,0.0,0.0
KRTAP19.4,0.0,0.0,0.0
KRTAP19.5,0.0,0.0,0.0
KRTAP19.6,0.0,0.0,0.0
KRTAP19.7,0.0,0.0,0.0
KRTAP19.8,0.0,0.0,0.0
KRTAP2.1,0.0,0.0,0.0
KRTAP2.2,0.0,0.0,0.0
KRTAP2.3,0.0,0.0,0.0
KRTAP2.4,0.0,0.0,0.0
KRTAP20.1,0.0,0.0,0.0
KRTAP20.2,0.0,0.0,0.0
KRTAP20.3,0.0,0.0,0.0
KRTAP20.4,0.0,0.0,0.0
KRTAP21.1,0.0,0.0,0.0
KRTAP21.2,0.0,0.0,0.0
KRTAP21.3,0.0,0.0,0.0
KRTAP22.1,0.0,0.0,0.0
KRTAP22.2,0.0,0.0,0.0
KRTAP23.1,0.0,0.0,0.0
KRTAP24.1,0.0,0.0,0.0
KRTAP25.1,0.0,0.0,0.0
KRTAP26.1,0.0,0.0,0.0
KRTAP27.1,0.0,0.0,0.0
KRTAP29.1,0.0,0.0,0.0
KRTAP3.1,0.0,0.0,0.0
KRTAP3.2,0.0,0.0,0.0
KRTAP3.3,0.0,0.0,0.0
KRTAP4.1,0.0,0.0,0.0
KRTAP4.11,0.0,0.0,0.0
KRTAP4.12,0.0,0.0,0.0
KRTAP4.16P,0.0,0.0,0.0
KRTAP4.2,0.0,0.0,0.0
KRTAP4.3,0.0,0.0,0.0
KRTAP4.4,0.0,0.0,0.0
KRTAP4.5,0.0,0.0,0.0
KRTAP4.6,0.0,0.0,0.0
KRTAP4.7,0.0,0.0,0.0
KRTAP4.8,0.0,0.0,0.0
KRTAP4.9,0.0,0.0,0.0
KRTAP5.1,0.0,0.0,0.0
KRTAP5.10,0.0,1.0,0.0
KRTAP5.11,0.0,0.0,0.0
KRTAP5.2,0.0,0.0,0.0
KRTAP5.3,0.0,0.0,0.0
KRTAP5.4,0.0,0.0,0.0
KRTAP5.5,0.0,0.0,0.0
KRTAP5.6,0.0,0.0,0.0
KRTAP5.7,0.0,1.0,0.0
KRTAP5.8,0.0,0.0,0.0
KRTAP5.9,0.0,0.0,0.0
KRTAP6.1,0.0,0.0,0.0
KRTAP6.2,0.0,0.0,0.0
KRTAP6.3,0.0,0.0,0.0
KRTAP7.1,0.0,0.0,0.0
KRTAP8.1,0.0,1.0,0.0
KRTAP9.1,0.0,0.0,0.0
KRTAP9.2,0.0,0.0,0.0
KRTAP9.3,0.0,0.0,0.0
KRTAP9.4,0.0,0.0,0.0
KRTAP9.6,0.0,0.0,0.0
KRTAP9.7,0.0,0.0,0.0
KRTAP9.8,0.0,0.0,0.0
KRTAP9.9,0.0,0.0,0.0
KRTCAP2,208.0,229.0,70.0
KRTCAP3,1.0,1.0,3.0
KRTDAP,0.0,0.0,0.0
KSR1,3.0,0.0,0.0
KSR2,0.0,0.0,0.0
KTI12,23.0,26.0,6.0
KTN1,231.0,340.0,66.0
KXD1,68.0,63.0,24.0
KY,0.0,0.0,0.0
KYNU,2.0,4.0,17.0
L1CAM,0.0,1.0,4.0
L1TD1,1.0,0.0,0.0
L2HGDH,5.0,3.0,0.0
L3HYPDH,12.0,17.0,1.0
L3MBTL1,1.0,9.0,3.0
L3MBTL2,25.0,26.0,13.0
L3MBTL3,11.0,9.0,6.0
L3MBTL4,0.0,1.0,2.0
LACC1,19.0,6.0,48.0
LACE1,3.0,1.0,2.0
LACRT,0.0,0.0,0.0
LACTB,15.0,14.0,21.0
LACTB2,11.0,12.0,5.0
LAD1,3.0,2.0,6.0
LAG3,0.0,0.0,5.0
LAGE3,79.0,84.0,26.0
LAIR1,0.0,0.0,53.0
LAIR2,0.0,0.0,0.0
LALBA,0.0,0.0,0.0
LAMA1,6.0,0.0,0.0
LAMA3,1.0,1.0,0.0
LAMA4,173.0,400.0,0.0
LAMA5,43.0,86.0,4.0
LAMB1,283.0,183.0,2.0
LAMB2,134.0,80.0,5.0
LAMB3,52.0,13.0,3.0
LAMB4,0.0,0.0,0.0
LAMC1,488.0,352.0,14.0
LAMC2,10.0,6.0,0.0
LAMC3,332.0,27.0,0.0
LAMP1,391.0,337.0,358.0
LAMP2,157.0,117.0,78.0
LAMP3,0.0,0.0,22.0
LAMP5,57.0,0.0,0.0
LAMTOR1,205.0,162.0,88.0
LAMTOR2,176.0,153.0,62.0
LAMTOR3,46.0,44.0,15.0
LAMTOR4,83.0,88.0,37.0
LAMTOR5,147.0,114.0,34.0
LANCL1,26.0,13.0,5.0
LANCL2,10.0,7.0,1.0
LANCL3,0.0,0.0,0.0
LAP3,29.0,35.0,11.0
LAPTM4A,627.0,458.0,174.0
LAPTM4B,163.0,235.0,16.0
LAPTM5,7.0,65.0,1179.0
LARGE,25.0,13.0,1.0
LARP1,172.0,117.0,60.0
LARP1B,25.0,8.0,6.0
LARP4,30.0,31.0,18.0
LARP4B,30.0,40.0,27.0
LARP6,85.0,25.0,2.0
LARP7,41.0,46.0,13.0
LARS,76.0,56.0,17.0
LARS2,7.0,8.0,0.0
LAS1L,17.0,26.0,2.0
LASP1,94.0,122.0,73.0
LAT,1.0,1.0,19.0
LAT2,1.0,1.0,61.0
LATS1,27.0,34.0,10.0
LATS2,67.0,85.0,15.0
LAX1,0.0,0.0,1.0
LAYN,12.0,63.0,0.0
LBH,81.0,242.0,3.0
LBHD1,0.0,0.0,0.0
LBP,4.0,0.0,0.0
LBR,43.0,62.0,17.0
LBX1,0.0,0.0,0.0
LBX2,2.0,2.0,0.0
LCA10,0.0,0.0,0.0
LCA5,14.0,12.0,2.0
LCA5L,0.0,2.0,3.0
LCAT,13.0,3.0,2.0
LCE1A,0.0,0.0,0.0
LCE1B,0.0,0.0,0.0
LCE1C,0.0,0.0,0.0
LCE1E,0.0,0.0,0.0
LCE1F,0.0,0.0,0.0
LCE2A,0.0,0.0,0.0
LCE2B,0.0,0.0,0.0
LCE2C,0.0,0.0,0.0
LCE2D,0.0,0.0,0.0
LCE3A,0.0,0.0,0.0
LCE3B,0.0,0.0,0.0
LCE3C,0.0,0.0,0.0
LCE3D,0.0,0.0,0.0
LCE3E,0.0,0.0,0.0
LCE4A,0.0,0.0,0.0
LCE6A,0.0,0.0,0.0
LCK,0.0,3.0,3.0
LCLAT1,21.0,11.0,4.0
LCMT1,43.0,43.0,15.0
LCMT2,15.0,5.0,1.0
LCN1,0.0,2.0,0.0
LCN10,0.0,0.0,0.0
LCN12,0.0,0.0,0.0
LCN15,0.0,0.0,0.0
LCN2,0.0,0.0,0.0
LCN6,0.0,1.0,0.0
LCN8,0.0,0.0,0.0
LCN9,0.0,0.0,0.0
LCNL1,1.0,0.0,0.0
LCOR,16.0,23.0,15.0
LCORL,7.0,16.0,1.0
LCP1,1.0,0.0,284.0
LCP2,9.0,93.0,56.0
LCT,0.0,0.0,0.0
LCTL,0.0,0.0,0.0
LDAH,10.0,10.0,7.0
LDB1,29.0,13.0,7.0
LDB2,9.0,140.0,0.0
LDB3,0.0,0.0,0.0
LDHA,677.0,281.0,104.0
LDHAL6A,0.0,0.0,0.0
LDHAL6B,0.0,0.0,0.0
LDHB,497.0,422.0,64.0
LDHC,0.0,0.0,0.0
LDHD,0.0,2.0,2.0
LDLR,169.0,87.0,31.0
LDLRAD1,0.0,0.0,0.0
LDLRAD2,1.0,17.0,0.0
LDLRAD3,24.0,14.0,1.0
LDLRAD4,21.0,3.0,4.0
LDLRAP1,29.0,57.0,12.0
LDOC1,25.0,22.0,4.0
LDOC1L,4.0,2.0,1.0
LEAP2,4.0,1.0,0.0
LECT1,0.0,0.0,0.0
LECT2,0.0,0.0,0.0
LEF1,32.0,5.0,0.0
LEFTY1,0.0,0.0,0.0
LEFTY2,0.0,0.0,0.0
LEKR1,0.0,0.0,0.0
LELP1,0.0,0.0,0.0
LEMD1,0.0,0.0,0.0
LEMD2,62.0,56.0,20.0
LEMD3,16.0,20.0,4.0
LENEP,0.0,0.0,0.0
LENG1,24.0,26.0,8.0
LENG8,9.0,10.0,12.0
LENG9,1.0,5.0,1.0
LEO1,13.0,12.0,2.0
LEP,0.0,0.0,0.0
LEPR,10.0,14.0,5.0
LEPROT,226.0,180.0,34.0
LEPROTL1,80.0,70.0,21.0
LETM1,37.0,39.0,10.0
LETM2,4.0,0.0,1.0
LETMD1,30.0,19.0,14.0
LEUTX,0.0,0.0,0.0
LFNG,2.0,13.0,9.0
LGALS1,989.0,614.0,127.0
LGALS12,0.0,0.0,1.0
LGALS13,0.0,0.0,0.0
LGALS14,0.0,0.0,0.0
LGALS16,0.0,0.0,0.0
LGALS17A,0.0,0.0,0.0
LGALS2,0.0,0.0,0.0
LGALS3,307.0,108.0,238.0
LGALS3BP,424.0,22.0,93.0
LGALS4,0.0,1.0,0.0
LGALS7,0.0,0.0,0.0
LGALS7B,0.0,0.0,0.0
LGALS8,86.0,101.0,44.0
LGALS9,14.0,53.0,101.0
LGALS9B,0.0,0.0,1.0
LGALS9C,0.0,0.0,0.0
LGALSL,19.0,8.0,0.0
LGI1,0.0,0.0,0.0
LGI2,1.0,0.0,0.0
LGI3,1.0,1.0,1.0
LGI4,0.0,0.0,0.0
LGMN,158.0,120.0,212.0
LGR4,16.0,2.0,0.0
LGR5,0.0,0.0,0.0
LGR6,2.0,0.0,0.0
LGSN,0.0,0.0,0.0
LHB,0.0,0.0,0.0
LHCGR,0.0,0.0,0.0
LHFP,140.0,55.0,0.0
LHFPL1,0.0,0.0,0.0
LHFPL2,145.0,55.0,107.0
LHFPL3,0.0,0.0,0.0
LHFPL4,4.0,2.0,0.0
LHFPL5,0.0,0.0,1.0
LHPP,14.0,5.0,11.0
LHX1,0.0,0.0,0.0
LHX2,0.0,0.0,0.0
LHX3,0.0,0.0,0.0
LHX4,2.0,2.0,1.0
LHX5,1.0,0.0,0.0
LHX6,0.0,3.0,0.0
LHX8,0.0,0.0,0.0
LHX9,0.0,0.0,0.0
LIAS,7.0,2.0,4.0
LIF,1127.0,82.0,14.0
LIFR,10.0,58.0,0.0
LIG1,5.0,15.0,3.0
LIG3,26.0,16.0,5.0
LIG4,14.0,16.0,4.0
LILRA1,0.0,0.0,14.0
LILRA2,0.0,1.0,12.0
LILRA4,0.0,0.0,0.0
LILRA5,0.0,0.0,9.0
LILRA6,0.0,0.0,0.0
LILRB1,0.0,2.0,9.0
LILRB2,0.0,0.0,15.0
LILRB3,0.0,0.0,1.0
LILRB4,0.0,0.0,43.0
LILRB5,0.0,0.0,20.0
LILRP2,0.0,0.0,0.0
LIM2,0.0,0.0,0.0
LIMA1,156.0,68.0,3.0
LIMCH1,15.0,69.0,1.0
LIMD1,7.0,22.0,9.0
LIMD2,42.0,8.0,7.0
LIME1,1.0,0.0,1.0
LIMK1,63.0,16.0,15.0
LIMK2,13.0,43.0,12.0
LIMS1,375.0,185.0,95.0
LIMS2,5.0,58.0,0.0
LIMS3,0.0,3.0,1.0
LIMS3L,0.0,0.0,0.0
LIN28A,0.0,0.0,0.0
LIN28B,0.0,0.0,0.0
LIN37,2.0,0.0,0.0
LIN52,14.0,7.0,2.0
LIN54,8.0,8.0,7.0
LIN7A,8.0,1.0,0.0
LIN7B,10.0,10.0,6.0
LIN7C,56.0,56.0,20.0
LIN9,0.0,3.0,0.0
LINGO1,21.0,1.0,0.0
LINGO2,1.0,1.0,0.0
LINGO3,0.0,0.0,0.0
LINGO4,0.0,2.0,0.0
LINS,15.0,12.0,8.0
LIPA,42.0,103.0,209.0
LIPC,1.0,0.0,0.0
LIPE,1.0,5.0,1.0
LIPF,0.0,0.0,0.0
LIPG,26.0,12.0,2.0
LIPH,0.0,0.0,0.0
LIPI,0.0,0.0,0.0
LIPJ,0.0,0.0,0.0
LIPK,0.0,0.0,0.0
LIPM,0.0,0.0,0.0
LIPN,0.0,0.0,0.0
LIPT1,4.0,8.0,0.0
LIPT2,0.0,1.0,1.0
LITAF,458.0,51.0,310.0
LIX1,0.0,0.0,0.0
LIX1L,104.0,123.0,18.0
