,UCSC_RefGene_Name
cg09221326,DYNLT1
cg09222791,CCDC79
cg09227136,GOLGA1
cg09230646,HEATR3
cg09230732,DHX29
cg09230732,SKIV2L2
cg09231514,HSD11B1L
cg09231514,C19orf70
cg09234872,TRAF7
cg09238598,ANKH
cg09238677,C3AR1
cg09239756,CKAP4
cg09243900,RAB25
cg09245378,FAM175B
cg09252204,CNKSR2
cg09253125,IQCD
cg09253125,TPCN1
cg09255666,ZNF281
cg09259332,EEA1
cg09259772,ARL4A
cg09260441,DOK5
cg09260564,VAPA
cg09260830,GNA14
cg09263755,ZNF830
cg09263755,CCT6B
cg09264112,GCHFR
cg09266433,OSBPL6
cg09272256,AKR1C4
cg09276363,KCND3
cg09276451,VASN
cg09276883,HHAT
cg09286787,FAM71E1
cg09291628,FBXL3
cg09294589,CRTAP
cg09296044,CCNDBP1
cg09298289,CENPH
cg09299307,CCNH
cg09299381,DNAL4
cg09300114,SLC16A5
cg09303043,ALDH3A2
cg09303642,NFE2
cg09305478,FAM195A
cg09306675,EYA2
cg09307264,INCA1
cg09307264,KIF1C
cg09307279,GLT8D1
cg09307279,SPCS1
cg09309269,PSMD11
cg09310112,KDM4B
cg09312149,TRIM36
cg09313439,CDH2
cg09313705,HOXB2
cg09326546,RAF1
cg09326702,SLC22A11
cg09327628,MARCKSL1
cg09328024,DYRK3
cg09329496,NAA15
cg09330643,LRRC20
cg09331011,GNAL
cg09339301,QKI
cg09339527,ZFP2
cg09343150,MEN1
cg09343544,DGCR14
cg09350274,GFRA3
cg09351449,DSN1
cg09351859,PARP8
cg09351894,CREM
cg09352789,XPNPEP1
cg09354267,ATG5
cg09354331,ZMIZ1
cg09358725,LMO2
cg09374949,ISYNA1
cg09377899,DDX11
cg09378691,ZNF335
cg09378940,LACTB2
cg09378940,XKR9
cg09381003,SHKBP1
cg09381003,SPTBN4
cg09381701,SASH1
cg09382492,AANAT
cg09382850,SYPL1
cg09383789,C1orf159
cg09386615,GLIS3
cg09391966,GIT2
cg09394600,RABEP1
cg09395833,ILVBL
cg09396217,ANGPT1
cg09400966,PROS1
cg09404256,USF2
cg09404334,SNX14
cg09404633,LMOD1
cg09405612,GLI3
cg09406238,MTMR8
cg09407859,CES3
cg09409398,SF3B4
cg09410845,BMPR2
cg09411212,POPDC2
cg09414535,GRIP1
cg09416313,MATK
cg09416501,TOB2
cg09419116,SEC11C
cg09419670,PSMD5
cg09419900,PSTK
cg09420988,MRPS30
cg09423836,NUP54
cg09425228,CCL20
cg09425611,CES1
cg09427311,ANGPTL2
cg09429111,PTPDC1
cg09430689,C14orf1
cg09430689,TTLL5
cg09431062,SH3GLB2
cg09432154,MED12L
cg09432154,GPR87
cg09432376,APOL6
cg09433780,APPL1
cg09434995,ZP3
cg09435090,QDPR
cg09438266,ZNF764
cg09441152,PQLC1
cg09445097,ZNF79
cg09446127,UBAC1
cg09449490,ROCK1
cg09450020,STEAP2
cg09453737,ZNF84
cg09454892,SAMD8
cg09455096,XPO1
cg09456329,LONP1
cg09457245,ZNF385A
cg09458237,HSPA12B
cg09459044,PPA2
cg09459188,MFSD1
cg09461185,PTGS2
cg09462575,PI3
cg09462826,FADS1
cg09472203,AP3B2
cg09472953,EPM2A
cg09475324,FICD
cg09475757,NEIL3
cg09478597,ERLIN2
cg09479015,KIRREL2
cg09479906,C10orf88
cg09480837,PLCE1
cg09485593,XYLT1
cg09486093,HSD17B4
cg09486567,OVOL2
cg09492887,SLC26A5
cg09494546,SLC16A4
cg09495351,WIPF2
cg09495977,HTRA3
cg09497789,SPAG17
cg09498007,CREG2
cg09498106,UPF1
cg09499849,ACVR1
cg09500672,LYPD6
cg09501516,RGS4
cg09503780,GORASP2
cg09503975,SF1
cg09504352,CDK4
cg09507928,IK
cg09507928,NDUFA2
cg09509673,CCR10
cg09509673,CNTNAP1
cg09514038,TMC5
cg09514188,TOB1
cg09514589,ETFA
cg09515805,PGM2L1
cg09516965,PTGDR
cg09517019,ARHGEF6
cg09522147,KRT7
cg09527021,TADA1
cg09528351,PIK3R5
cg09530763,RNF26
cg09531892,LRP12
cg09533063,ALDH8A1
cg09537031,SH2D4A
cg09539438,NTRK2
cg09541468,CORO1B
cg09543783,FKRP
cg09543783,STRN4
cg09543792,SLC16A13
cg09544918,CDON
cg09546307,CLEC4D
cg09546345,DHRS1
cg09547190,C9orf89
cg09548179,AMDHD2
cg09549827,ESPN
cg09553358,CEND1
cg09553448,NUP214
cg09554443,CD247
cg09555879,GRIK5
cg09558502,OVGP1
cg09559551,DDI2
cg09560912,NCOA3
cg09572685,MKS1
cg09573435,SEMA6A
cg09577651,SIRPB1
cg09580336,ATP1A1
cg09581098,SEPT6
cg09585834,C16orf71
cg09585834,ANKS3
cg09591663,NDUFAF4
cg09593286,SQRDL
cg09593402,LNPEP
cg09594067,EXOSC6
cg09594841,LIG1
cg09595479,PRPH
cg09597465,SLC15A4
cg09597496,TNNC1
cg09597496,NISCH
cg09599653,ARL11
cg09600437,REL
cg09600520,CDYL
cg09604203,MYBL2
cg09606564,MFAP4
cg09615982,E4F1
cg09617747,NOB1
cg09618028,COX11
cg09618028,STXBP4
cg09618682,SEC22A
cg09619786,RPP25
cg09622447,CBS
cg09624565,NCF4
cg09626634,GPR183
cg09628601,NPAS1
cg09630404,STAR
cg09632136,NNMT
cg09632416,ANO10
cg09632585,ZNF131
cg09633588,C1orf174
cg09640202,IMP4
cg09643186,GPX2
cg09643313,PPP1R9A
cg09644722,MARCH10
cg09649610,GNG4
cg09650667,COPB2
cg09655559,TPD52L2
cg09656405,RPLP1
cg09656934,TDRD5
cg09657311,RBM14
cg09658342,TIA1
cg09658438,CS
cg09662150,TM2D2
cg09662150,ADAM9
cg09664442,ERICH1
cg09665592,DPM2
cg09666654,MYO1B
cg09667226,KLF5
cg09667582,UBE2Q2
cg09676788,RNF128
cg09678228,TMEM117
cg09685568,HIRA
cg09685747,PNPT1
cg09688546,GLRB
cg09688763,VTI1A
cg09688763,ZDHHC6
cg09699159,PRDM11
cg09702010,KLK11
cg09706243,POLD4
cg09712066,PART1
cg09712606,IRF3
cg09712606,BCL2L12
cg09717545,KISS1R
cg09721047,ARHGAP25
cg09721427,HHEX
cg09722555,CCL27
cg09725013,GTF3C1
cg09725013,KIAA0556
cg09726469,MCL1
cg09730017,HMBS
cg09730361,MLLT3
cg09735905,HHLA3
cg09735905,ANKRD13C
cg09736922,THPO
cg09737668,SLAMF9
cg09738100,MRPS9
cg09747578,LRRC41
cg09747578,UQCRH
cg09755102,S100PBP
cg09755102,YARS
cg09757107,CDC42EP4
cg09759260,ITGA2
cg09761310,EPS8
cg09766383,GPR63
cg09768944,PDCL
cg09769679,NUFIP1
cg09770154,MXI1
cg09772154,FGFR2
cg09775312,PPP1R3C
cg09778422,MSN
cg09778734,C12orf76
cg09781054,ZSWIM1
cg09784259,SELE
cg09786257,PCSK1
cg09787394,LIPT1
cg09787394,TSGA10
cg09788239,MED15
cg09791681,DCUN1D2
cg09791681,TMCO3
cg09793001,TOP2B
cg09793796,PMS2
cg09793796,AIMP2
cg09794131,HYDIN
cg09799714,PDZD3
cg09800519,RXRA
cg09805010,THRB
cg09806934,CPT1A
cg09809672,EDARADD
cg09809950,MRPL39
cg09816471,SNN
cg09817114,WDR53
cg09817114,FBXO45
cg09818732,SLC48A1
cg09822001,APOA1BP
cg09822907,EME1
cg09822907,MRPL27
cg09830278,SHOC2
cg09831311,COX4I1
cg09831553,LAMA5
cg09834162,THAP5
cg09834162,DNAJB9
cg09834205,LRP11
cg09835085,KCNE4
cg09835543,DIRAS2
cg09837169,TIAM2
cg09837361,GMEB1
cg09837648,PLXNB1
cg09837977,LRRN3
cg09845785,PDE1A
cg09845946,ABI2
cg09846458,ISOC2
cg09847584,RIMBP2
cg09852871,WDR24
cg09867835,GLP1R
cg09869042,CENPM
cg09869791,ABCD3
cg09870606,GLG1
cg09871043,PKHD1
cg09872233,ALOX15
cg09874127,UBA7
cg09874600,TRIP4
cg09875273,ERBB2
cg09875273,PGAP3
cg09877136,GMFB
cg09878269,PROZ
cg09881855,SNAI2
cg09881917,FUK
cg09884077,NIPA1
cg09885086,GCNT1
cg09885409,IFNAR1
cg09885951,CENPF
cg09886641,NOX5
cg09886641,SPESP1
cg09888137,SUFU
cg09888137,ACTR1A
cg09889850,EAPP
cg09891761,F5
cg09892203,CACNG4
cg09892390,ARHGAP21
cg09893068,CCDC17
cg09896445,GPC5
cg09904573,RNF122
cg09907395,RNF213
cg09910464,GK5
cg09911755,OSBPL7
cg09914773,CYP3A4
cg09916853,TSPAN33
cg09918512,CWF19L2
cg09920145,TMF1
cg09923855,HTATSF1
cg09926892,RBM39
cg09929564,ILF2
cg09932694,ATAD3A
cg09935228,ZNF704
cg09935540,DNAH3
cg09935540,TMEM159
cg09937039,BATF
cg09938079,RHOG
cg09938768,EPHB3
cg09941381,RTKN2
cg09944147,COL27A1
cg09947274,CAD
cg09949775,COMP
cg09950370,GFRA2
cg09952204,RASGRF2
cg09952620,C19orf53
cg09954385,ARHGAP8
cg09963123,KLF3
cg09964005,GTPBP1
cg09965258,NFIB
cg09967877,SYT12
cg09971811,CST7
cg09976774,FOXM1
cg09979256,RSPO3
cg09980522,GRIA4
cg09984370,ZNF567
cg09985635,PCDH1
cg09988116,C1orf210
cg09989883,MRPS22
cg09996240,HMG20B
cg09997760,GNB4
cg09998229,TBXA2R
cg09998519,HNRNPU
cg10001720,LAPTM5
cg10002103,SLC38A2
cg10002561,CCNA2
cg10002977,SOD2
cg10005894,ST6GAL1
cg10011232,FKBP8
cg10014293,MT1H
cg10016608,GAS2L2
cg10018778,TSPAN31
cg10025865,SERPINA6
cg10027114,BBS10
cg10028071,COMMD3
cg10029076,MANF
cg10031651,LRRC2
cg10031651,TDGF1
cg10035272,VTA1
cg10035303,TRPC4AP
cg10035922,OSCP1
cg10037005,CD37
cg10037068,WIPF1
cg10038259,HNRNPAB
cg10039928,MATN2
cg10040059,ZNF691
cg10042178,LMO4
cg10044101,VNN2
cg10045881,CHI3L2
cg10046620,HIST1H2AI
cg10049535,SLC7A6
cg10052190,C16orf52
cg10052840,SEMA6B
cg10054127,NECAB3
cg10056627,GNMT
cg10057065,RUSC1
cg10057218,GSDMB
cg10059104,CCDC116
cg10059959,PAX5
cg10061117,SORL1
cg10061138,STAB1
cg10061247,TMEM115
cg10062065,SPEG
cg10062803,FABP4
cg10064162,LAMB1
cg10065416,MPP3
cg10065825,CDH11
cg10066332,PPP1R13B
cg10069638,NFIA
cg10071275,MYT1
cg10072995,NINJ1
cg10073091,DHCR24
cg10073723,BMPER
cg10073875,GEMIN7
cg10074409,IRF6
cg10075436,MZF1
cg10076009,SMARCA1
cg10078415,ACSM3
cg10078829,KLK4
cg10080004,SYT5
cg10081899,PPM1F
cg10087081,KIAA0355
cg10089145,ST14
cg10089324,EPS15
cg10090585,ENOX2
cg10091705,PPP1R12B
cg10092957,NCCRP1
cg10099900,PSMF1
cg10104451,ARC
cg10106284,FAM49A
cg10106388,CD244
cg10107725,LY75
cg10115873,DNAJB7
cg10115873,XPNPEP3
cg10117369,LAX1
cg10124491,GABPB2
cg10128164,COCH
cg10128868,PDIA4
cg10129493,CD33
cg10137155,KBTBD8
cg10139614,APRT
cg10139846,INADL
cg10143146,RXRB
cg10145369,DAD1
cg10148280,HPS3
cg10148841,ROBO4
cg10150813,SEL1L3
cg10158080,SOX5
cg10162464,ZNF282
cg10163825,HAGHL
cg10163825,CCDC78
cg10164137,DVL1
cg10164640,HPDL
cg10165198,PCCB
cg10169812,CD38
cg10172318,DRAP1
cg10172318,C11orf68
cg10177528,TRAF5
cg10182321,STK32B
cg10183248,UBTF
cg10186308,CALCOCO1
cg10187559,TTYH1
cg10194829,FGF17
cg10196289,NSMAF
cg10198837,CD8B
cg10200408,ASB8
cg10201668,DUOX1
cg10201668,DUOXA1
cg10203523,MRFAP1L1
cg10211877,PDRG1
cg10212621,HMGCS2
cg10213812,FOXN1
cg10214058,CNOT8
cg10215884,TMEM161B
cg10217449,GNPDA2
cg10218426,CKAP2
cg10218959,PTGES2
cg10219037,C11orf1
cg10219037,FDXACB1
cg10220156,KIF13B
cg10221501,CMTM1
cg10221736,TICAM1
cg10222534,KCNJ14
cg10222574,CASC2
cg10222574,RAB11FIP2
cg10224037,ZNF354A
cg10225525,FUT8
cg10226546,NFATC2
cg10226744,ATXN10
cg10227191,KRT18
cg10235741,DNASE1L3
cg10236239,SULT1C4
cg10237911,UTP15
cg10237911,ANKRA2
cg10239941,MPV17
cg10240083,SNX29
cg10240853,MOSPD3
cg10245048,TNFRSF10A
cg10246520,OLFM4
cg10247252,GALR2
cg10248733,C19orf44
cg10250107,AFAP1
cg10252059,CYP20A1
cg10253484,SCAMP2
cg10262425,PGLS
cg10264187,SLC39A13
cg10266188,TXLNA
cg10266490,ACOT11
cg10273210,TRIM59
cg10274502,SPEN
cg10276549,GABRE
cg10276576,C11orf24
cg10277146,SPAST
cg10277195,MDC1
cg10281002,TBX5
cg10281478,DYNC1I1
cg10283277,SIK2
cg10289190,GRHPR
cg10289912,ZNRF2
cg10294836,DYRK1B
cg10298205,EEF1D
cg10300154,MTRR
cg10300154,FASTKD3
cg10301967,VPS52
cg10301967,RPS18
cg10303487,DPYS
cg10303842,CDH12
cg10307548,SOD3
cg10309835,KDELR1
cg10313093,TMEM165
cg10313633,TP53I11
cg10313673,CILP2
cg10314752,PPP4R4
cg10315128,SMAD4
cg10315334,CCL5
cg10316381,SNX10
cg10316764,TAOK2
cg10318258,RIPK3
cg10319505,RASEF
cg10321196,SLC25A5
cg10321723,PDZK1
cg10322308,PARS2
cg10322876,CYP2B6
cg10326447,NRGN
cg10329418,PON3
cg10331779,CTNND2
cg10332700,ZNF415
cg10335931,MYBPC3
cg10337772,KIF15
cg10337772,KIAA1143
cg10337819,LTB4R2
cg10338338,SLC2A3
cg10342590,FAU
cg10342590,MRPL49
cg10343901,RAB6A
cg10346242,ARF3
cg10347998,GSK3B
cg10348863,ING2
cg10353870,BIN1
cg10356060,DNAJC18
cg10358212,ATMIN
cg10361696,FAM109A
cg10364182,C11orf74
cg10373645,DUSP11
cg10375110,CHRNA9
cg10377211,TM9SF3
cg10377764,RAD52
cg10383428,NCAPD2
cg10383839,LAPTM4A
cg10384134,RPS9
cg10387416,TATDN2
cg10387901,MRPS25
cg10391629,AKAP11
cg10396357,TFAP4
cg10398950,CDK12
cg10401803,TAF1
cg10404950,ALKBH8
cg10409560,C4orf26
cg10409680,HLA-C
cg10409799,ADAR
cg10413342,MRPL21
cg10413342,IGHMBP2
cg10417559,PRICKLE3
cg10423227,AFTPH
cg10426652,WDR75
cg10430690,KALRN
cg10431340,MPZ
cg10432620,FA2H
cg10442358,AGFG2
cg10447080,FILIP1
cg10449070,ALDH2
cg10452522,LSM14A
cg10453040,TMEM68
cg10453040,TGS1
cg10453365,RHCG
cg10454268,STX3
cg10455676,MTIF2
cg10457895,RSRC1
cg10458876,PSKH1
cg10459515,BCLAF1
cg10464585,CNOT2
cg10464775,LAMP1
cg10468369,DDX19B
cg10468702,PTGER1
cg10473004,CPNE3
cg10474368,XRRA1
cg10474368,SPCS2
cg10477754,PPRC1
cg10482750,NRD1
cg10484450,TMEM229B
cg10484485,KIAA0922
cg10484958,PCDH8
cg10487127,ATXN1
cg10488476,ITGA3
cg10488637,ZNF180
cg10490064,CRYBB2
cg10490196,TPCN2
cg10491648,WDR54
cg10493166,PTGS1
cg10494773,SRP54
cg10497569,RAB23
cg10498963,GALK1
cg10500283,UTS2
cg10500716,WDR77
cg10500716,ATP5F1
cg10501629,ATP2B1
cg10503234,FSTL3
cg10506212,GGCX
cg10507231,PIK3C2B
cg10515956,MCOLN3
cg10516359,SLC35C1
cg10516886,CD53
cg10520594,NT5C
cg10520887,UNC5C
cg10521852,LPAR2
cg10523671,SLC15A2
cg10524192,SIGMAR1
cg10524983,GYG1
cg10525488,C4orf32
cg10526888,MAGT1
cg10528989,BDKRB1
cg10530281,TBX3
cg10530733,GPR173
cg10533739,RAP2B
cg10536534,MCTS1
cg10539808,KCTD1
cg10541755,EIF5A2
cg10541994,TMEM30A
cg10545682,TUFT1
cg10549973,TOMM20L
cg10551759,FAM3C
cg10556064,SMPD3
cg10557828,PLOD2
cg10561472,ZBTB7A
cg10562586,MAP2
cg10564498,AXL
cg10568944,CENPQ
cg10568944,MUT
cg10573763,COPE
cg10573763,DDX49
cg10574499,NRN1L
cg10576828,LRRC7
cg10583097,RBM15B
cg10583382,ELP4
cg10583382,IMMP1L
cg10590292,BIN2
cg10591174,MYL2
cg10593493,HOXC6
cg10594105,ZNF428
cg10601002,DDX51
cg10601002,NOC4L
cg10601168,CNKSR3
cg10601939,ARL5B
cg10604333,ZNF222
cg10604646,RGS5
cg10608341,HESX1
cg10609615,TRAP1
cg10612997,GREB1
cg10613381,UPB1
cg10613440,SUCLA2
cg10615091,FAM13C
cg10624445,CNGB1
cg10624768,DNAJA1
cg10627136,HINT1
cg10628098,SCYL1
cg10634217,MRPL18
cg10635061,FHL2
cg10636246,AIM2
cg10637955,BZW1
cg10642330,BLCAP
cg10642330,NNAT
cg10644361,MIPOL1
cg10645943,LRRC45
cg10645943,STRA13
cg10654016,LLPH
cg10661591,TFG
cg10663017,DUSP23
cg10664272,CAPG
cg10667970,FBXO6
cg10670077,INSR
cg10671066,SLAMF6
cg10671802,DHRS13
cg10673431,S100A11
cg10677144,MYOM1
cg10677787,DHRS4L2
cg10681065,TFR2
cg10681137,CTU1
cg10682057,NAAA
cg10686044,SEL1L
cg10688941,SNRNP200
cg10689889,MAF
cg10691006,MCM2
cg10691259,TRNAU1AP
cg10692870,FN1
cg10694152,SLC15A1
cg10694914,POU2AF1
cg10694959,KPNA6
cg10698222,C7orf43
cg10698549,SRRM1
cg10703331,TRIM24
cg10704545,GLRX2
cg10705800,CITED4
cg10707300,ZNF653
cg10707565,CUBN
cg10708675,NQO1
cg10708905,LRIG3
cg10710439,ZNF781
cg10713320,CLDND1
cg10716607,TOPORS
cg10722799,CLIC6
cg10723020,CREB1
cg10725344,FAM180A
cg10729531,TCFL5
cg10730712,COL23A1
cg10735116,GPR89B
cg10737521,TBC1D9B
cg10737625,RCHY1
cg10737625,THAP6
cg10740965,CTNNBIP1
cg10743104,PDPN
cg10749011,ITGA6
cg10751811,CYP4Z1
cg10752753,SLC45A2
cg10753582,KIFAP3
cg10756887,C22orf15
cg10757144,PCDHB15
cg10763059,PTPN12
cg10766289,KRT1
cg10770529,ZNF274
cg10771262,TCF21
cg10773869,GMCL1
cg10774155,VKORC1L1
cg10774440,LEFTY1
cg10775273,CRYBA2
cg10778619,KCNMB4
cg10780112,HEBP2
cg10783042,HDAC6
cg10784030,INPP5B
cg10784067,ERCC4
cg10784090,CLDN18
cg10786880,PRKAA1
cg10789261,LARP4B
cg10791260,TNFSF15
cg10791955,TRMT11
cg10801213,SLC7A3
cg10805447,ZBTB43
cg10805667,LRTOMT
cg10805676,MRPL28
cg10807560,SLC8A1
cg10809441,DHX8
cg10810921,CRLF1
cg10814135,ASPSCR1
cg10818284,SYP
cg10819446,PARD6A
cg10819446,ACD
cg10822172,CREB5
cg10823157,ATP9B
cg10823546,NAA35
cg10829427,RPUSD3
cg10834677,FAM19A3
cg10835876,DPT
cg10839521,LRGUK
cg10841258,CTTNBP2NL
cg10850119,FBXO4
cg10853416,MS4A7
cg10857807,MAD1L1
cg10861599,TNFSF4
cg10861751,RGS1
cg10864501,POLDIP3
cg10869376,MRPS31
cg10872209,SFXN2
cg10872209,ARL3
cg10876928,SDC4
cg10878307,PRR15L
cg10878998,CYB5A
cg10880863,EXOC4
cg10885338,C2orf40
cg10885645,CLSTN3
cg10889792,KRTAP5-9
cg10891025,EIF3J
cg10891879,CASZ1
cg10894102,CLIC4
cg10895130,BNIPL
cg10896886,ACTR3B
cg10897648,MALT1
cg10900550,TDRD7
cg10905613,GPS2
cg10905918,RPS24
cg10906135,GLTSCR1
cg10906663,PHEX
cg10907112,POF1B
cg10909324,EHMT2
cg10911877,PAFAH1B1
cg10912268,SPTLC1
cg10917602,HSD3B7
cg10918202,BAALC
cg10919329,SLC35A1
cg10920302,LARS2
cg10920957,JPH3
cg10922280,DPEP2
cg10922622,FSD1L
cg10925082,ARHGDIB
cg10926623,L1CAM
cg10929387,ITIH4
cg10935550,BTG2
cg10935723,KCNK10
cg10936230,RAB27A
cg10938446,IL1RN
cg10942056,DISP1
cg10943191,TMEM52
cg10944783,PSMC3IP
cg10946435,KCNN3
cg10947146,XKR6
cg10949322,CUL2
cg10954182,NFYB
cg10957151,HOXD9
cg10958402,RNF7
cg10959933,C15orf39
cg10960946,UBE2I
cg10965432,AKTIP
cg10971346,PIGV
cg10971750,VRK1
cg10972353,SCD5
cg10972821,AKAP1
cg10976172,ZNF785
cg10977115,CRTAM
cg10978355,CKMT2
cg10978402,IQGAP1
cg10979891,SMOC1
cg10981541,FAM57A
cg10983720,LRIG2
cg10985987,CDIPT
cg10987882,RNF24
cg10989517,SERGEF
cg10994126,PAPPA2
cg10994379,CAPSL
cg10995359,LCLAT1
cg10995380,TGFB1I1
cg10999429,ACVRL1
cg11000221,DHX40
cg11007423,SPPL2A
cg11008571,N4BP2L1
cg11008866,CASR
cg11009596,AURKB
cg11009736,MARCO
cg11010122,DNAJB14
cg11012046,GLB1L2
cg11017269,RHOBTB3
cg11018904,SPEF1
cg11023442,INPP5K
cg11025793,IER2
cg11025793,STX10
cg11027330,METRN
cg11038081,ZNF235
cg11038843,B3GAT1
cg11041457,GNL3
cg11041457,PBRM1
cg11043092,MCPH1
cg11044163,CPVL
cg11044263,TMEM65
cg11049298,HNRNPA0
cg11049305,ZC4H2
cg11050116,PCM1
cg11051139,KRT80
cg11051843,SEMA3C
cg11052143,ALS2CR11
cg11053740,RAB2B
cg11053740,TOX4
cg11056832,PKN3
cg11057497,HMGCS1
cg11058696,SNRPB2
cg11059483,ESR2
cg11061603,RPS10
cg11061975,SIRPG
cg11063110,CPA5
cg11065518,MDH1B
cg11065518,FASTKD2
cg11065693,IRF9
cg11070419,C4BPA
cg11072113,VWCE
cg11074362,DENND4C
cg11074746,MEMO1
cg11075745,CLDN19
cg11079619,INHBA
cg11082575,FAM60A
cg11084020,TAX1BP1
cg11084035,GANAB
cg11084611,C2orf27A
cg11094938,ATP2A1
cg11096993,ACY3
cg11099899,CLDN14
cg11100802,TRIM52
cg11102794,LMO1
cg11105610,LGALS3BP
cg11107205,RCL1
cg11108432,PINX1
cg11108890,VAMP5
cg11115702,SPNS1
cg11116440,URM1
cg11117707,SLC16A6
cg11120551,CHD1L
cg11129291,DARS
cg11136251,ZWILCH
cg11136251,RPL4
cg11136562,ARAP3
cg11140307,CMTM4
cg11147193,HPCAL1
cg11147886,NFAT5
cg11151811,PRKAG1
cg11151820,CCT5
cg11151820,FAM173B
cg11152574,ACSL5
cg11155265,ASAP3
cg11158374,TFF2
cg11159299,GZMM
cg11160386,MDM1
cg11160820,CD58
cg11161417,SPACA3
cg11166252,AHR
cg11166823,AGPAT3
cg11170796,TCF3
cg11171719,CTDSPL
cg11172299,C14orf142
cg11172299,UBR7
cg11175310,RSU1
cg11175476,LRP6
cg11177450,SENP5
cg11177693,ZNF513
cg11177693,PPM1G
cg11178443,RANGRF
cg11179184,C8orf76
cg11181795,NEURL4
cg11185569,CHN2
cg11191337,PLTP
cg11192270,ATP13A2
cg11193041,GSTZ1
cg11193041,POMT2
cg11194725,CBX1
cg11195002,ICAM5
cg11195662,PRUNE2
cg11197066,PGAP1
cg11199399,LTBP1
cg11200929,CRABP1
cg11201229,PIK3C2A
cg11201532,MFNG
cg11203041,MGST1
cg11206763,ESYT1
cg11208235,BCAR3
cg11208880,LRRC8D
cg11220060,KLF1
cg11220635,RDH11
cg11221265,SDHC
cg11222041,TOR1A
cg11223864,GNB2
cg11226328,EPB41
cg11227541,GNG5
cg11233153,SLC10A3
cg11233228,PRPF4
cg11233228,CDC26
cg11235426,DUSP22
cg11235871,QARS
cg11237115,KLHL24
cg11243196,ADAMTS3
cg11248491,CYTH3
cg11255163,CDH1
cg11258532,CA7
cg11262874,ZNF681
cg11263296,CCDC64
cg11263497,WDR35
cg11269533,FEV
cg11274211,PIP5K1B
cg11274211,FAM122A
cg11278262,KRTCAP2
cg11278262,TRIM46
cg11279021,ETV1
cg11285843,TMEM41A
cg11286163,PSMA5
cg11296937,PRDX5
cg11296937,TRMT112
cg11298412,PARM1
cg11300809,SGPP2
cg11301598,OASL
cg11304234,IL18
cg11304524,TSSK4
cg11304734,POLR1E
cg11311499,MSH2
cg11313124,ZMAT3
cg11313997,B4GALT7
cg11314292,RNF125
cg11314684,AKT3
cg11320084,RNF2
cg11320143,GDAP2
cg11320143,WDR3
cg11321895,PLAG1
cg11321895,CHCHD7
cg11323230,AMFR
cg11323731,AKR1A1
cg11324740,NUSAP1
cg11324740,OIP5
cg11328149,LY6G6C
cg11332950,AHSA2
cg11336428,TEX2
cg11337780,ZNF439
cg11341028,KBTBD4
cg11341028,NDUFS3
cg11341528,CASD1
cg11356290,AZI2
cg11360718,TM9SF4
cg11360768,WHSC1L1
cg11366015,C20orf27
cg11368791,WDR46
cg11368791,PFDN6
cg11368946,GCAT
cg11371160,UBL4A
cg11372696,POLR2G
cg11375102,TMEM204
cg11375475,BBC3
cg11378484,THOC7
cg11378686,ZNF318
cg11380624,DNAJC14
cg11386709,EPB41L2
cg11387131,KCNJ5
cg11387519,CCDC142
cg11387519,MRPL53
cg11388238,KCTD18
cg11390468,IFT57
cg11391732,HSPB3
cg11392765,NKX3-2
cg11395610,RAB28
cg11395917,PLEKHB2
cg11396509,SIRT2
cg11396509,NFKBIB
cg11397854,IQSEC1
cg11399891,ZNF444
cg11405695,ATAD3C
cg11406340,IDI2
cg11407345,C21orf58
cg11407345,PCNT
cg11408517,LATS1
cg11412582,HERC2
cg11415932,POLB
cg11416386,DPY19L3
cg11426590,TRIM62
cg11428724,PAX7
cg11429632,RAB14
cg11431126,RHOU
cg11432797,SPN
cg11442050,EIF4ENIF1
cg11442717,PHF10
cg11443787,MLLT10
cg11449935,TGIF2
cg11450001,GABARAPL1
cg11451801,PSMB10
cg11454415,TOMM34
cg11455040,SLC45A3
cg11458642,ATR
cg11458974,HMOX1
cg11462533,HPCAL4
cg11466485,SARDH
cg11466837,TRIM29
cg11467738,ARPC1B
cg11469137,PLOD1
cg11469778,ARHGEF4
cg11471666,EIF4B
cg11473104,NUDT15
cg11474075,TTC5
cg11475332,SDC1
cg11476254,ACSF3
cg11481720,ZNF791
cg11481720,ZNF490
cg11483915,SLC40A1
cg11484576,LGALS12
cg11490446,PSEN1
cg11494699,RAG1
cg11498156,TLX1
cg11498188,HECA
cg11498740,MOAP1
cg11500727,CNFN
cg11502800,ZNF565
cg11504897,NRN1
cg11507178,BCL9L
cg11510269,RSRC2
cg11510269,KNTC1
cg11511443,LMO3
cg11512771,ECM1
cg11516377,DPH1
cg11518240,FKBP4
cg11523020,UPK3A
cg11527279,TTLL11
cg11529128,LHFPL5
cg11539173,GNB1L
cg11539173,C22orf29
cg11540692,SIM1
cg11552293,COL4A5
cg11552293,COL4A6
cg11553177,SUPT6H
cg11553177,SDF2
cg11554937,HSD17B3
cg11558474,TMEM2
cg11560403,TMEM81
cg11563860,CNTN4
cg11565248,RPS6KA3
cg11572744,DPYSL3
cg11574612,CYP39A1
cg11574612,SLC25A27
cg11579069,MYB
cg11584111,PIGC
cg11585425,ACTR2
cg11590700,MECOM
cg11591325,F2R
cg11595749,ATP5E
cg11598929,FAAH2
cg11599505,VSTM2L
cg11603096,EIF3D
cg11608114,SETD1B
cg11609344,YKT6
cg11609366,RPL8
cg11609760,FGD1
