,immune,classic,endo,basal
LGALS12,43.0,2.0,1.0,0.0
LGALS2,1253.0,99.0,16.0,2.0
LGALS3,4364.0,6907.0,65.0,561.0
LGALS3BP,1778.0,8321.0,26.0,813.0
LGALS4,158.0,7591.0,7.0,20.0
LGALS7B,0.0,0.0,0.0,0.0
LGALS8,3150.0,1999.0,150.0,181.0
LGALS8-AS1,8.0,7.0,0.0,0.0
LGALS9,2532.0,679.0,66.0,40.0
LGALS9B,14.0,16.0,1.0,1.0
LGALS9C,17.0,17.0,1.0,0.0
LGALSL,26.0,380.0,7.0,18.0
LGI1,1.0,0.0,0.0,0.0
LGI2,25.0,27.0,7.0,0.0
LGI4,6.0,22.0,0.0,2.0
LGMN,5859.0,972.0,187.0,59.0
LGR4,39.0,985.0,8.0,33.0
LGR5,2.0,46.0,0.0,0.0
LGR6,53.0,164.0,1.0,14.0
LGSN,0.0,0.0,0.0,0.0
LHB,12.0,20.0,0.0,1.0
LHCGR,35.0,47.0,0.0,1.0
LHFP,44.0,196.0,61.0,9.0
LHFPL1,0.0,0.0,0.0,0.0
LHFPL2,3424.0,519.0,51.0,68.0
LHFPL3-AS1,0.0,0.0,0.0,0.0
LHFPL5,27.0,43.0,5.0,7.0
LHPP,310.0,179.0,9.0,18.0
LHX1,2.0,27.0,0.0,1.0
LHX2,16.0,3.0,0.0,0.0
LHX4,21.0,13.0,1.0,0.0
LHX5,11.0,6.0,0.0,0.0
LHX6,5.0,2.0,6.0,0.0
LHX9,1.0,9.0,0.0,0.0
LIAS,190.0,222.0,9.0,23.0
LIF,70.0,459.0,0.0,48.0
LIFR,17.0,170.0,334.0,18.0
LIFR-AS1,6.0,19.0,1.0,2.0
LIG1,671.0,470.0,14.0,76.0
LIG3,329.0,405.0,11.0,33.0
LIG4,375.0,416.0,8.0,14.0
LILRA1,541.0,8.0,10.0,1.0
LILRA2,646.0,6.0,11.0,0.0
LILRA3,392.0,4.0,4.0,0.0
LILRA4,396.0,5.0,1.0,4.0
LILRA5,434.0,7.0,3.0,0.0
LILRA6,603.0,13.0,10.0,0.0
LILRB1,2487.0,58.0,16.0,1.0
LILRB2,2506.0,49.0,17.0,1.0
LILRB3,409.0,6.0,3.0,0.0
LILRB4,2561.0,58.0,14.0,7.0
LILRB5,611.0,17.0,2.0,1.0
LIM2,1.0,0.0,0.0,0.0
LIMA1,1194.0,4977.0,195.0,346.0
LIMCH1,53.0,1746.0,236.0,73.0
LIMD1,500.0,249.0,9.0,21.0
LIMD1-AS1,48.0,25.0,1.0,0.0
LIMD2,1347.0,98.0,19.0,3.0
LIME1,21.0,16.0,0.0,0.0
LIMK1,646.0,316.0,7.0,40.0
LIMK2,643.0,551.0,60.0,60.0
LIMS1,3742.0,1385.0,66.0,166.0
LIMS2,38.0,43.0,76.0,1.0
LIN28A,0.0,1.0,0.0,0.0
LIN37,23.0,27.0,1.0,0.0
LIN52,250.0,173.0,9.0,11.0
LIN54,427.0,302.0,13.0,18.0
LIN7A,106.0,13.0,5.0,0.0
LIN7B,94.0,122.0,0.0,8.0
LIN7C,424.0,639.0,19.0,56.0
LIN9,66.0,106.0,4.0,18.0
LINGO1,1.0,19.0,2.0,1.0
LINGO2,12.0,5.0,0.0,2.0
LINGO3,1.0,0.0,0.0,0.0
LINGO4,20.0,2.0,0.0,0.0
LINS,547.0,258.0,10.0,11.0
LIPA,7810.0,746.0,66.0,92.0
LIPC,23.0,31.0,1.0,3.0
LIPE,62.0,25.0,6.0,2.0
LIPE-AS1,95.0,52.0,4.0,1.0
LIPG,7.0,119.0,31.0,27.0
LIPH,30.0,2725.0,0.0,154.0
LIPJ,0.0,0.0,0.0,0.0
LIPN,28.0,0.0,0.0,0.0
LIPT1,144.0,108.0,7.0,8.0
LIPT2,29.0,28.0,0.0,3.0
LITAF,6651.0,3304.0,99.0,304.0
LIX1,0.0,1.0,0.0,0.0
LIX1L,615.0,190.0,26.0,13.0
LL0XNC01-116E7.2,0.0,0.0,0.0,0.0
LL0XNC01-237H1.2,35.0,84.0,4.0,6.0
LL0XNC01-7P3.1,10.0,12.0,1.0,0.0
LL21NC02-1C16.1,1.0,0.0,0.0,0.0
LL21NC02-1C16.2,31.0,10.0,0.0,0.0
LL22NC03-2H8.5,28.0,36.0,4.0,3.0
LL22NC03-32F9.1,0.0,0.0,0.0,0.0
LL22NC03-75H12.2,0.0,0.0,0.0,0.0
LL22NC03-86G7.1,55.0,23.0,0.0,0.0
LL22NC03-N27C7.1,13.0,16.0,2.0,0.0
LLGL1,69.0,93.0,5.0,7.0
LLGL2,551.0,2902.0,15.0,102.0
LLPH,483.0,409.0,14.0,38.0
LMAN1,2250.0,4050.0,147.0,351.0
LMAN2,2761.0,4308.0,98.0,361.0
LMAN2L,181.0,288.0,16.0,19.0
LMBR1,378.0,656.0,25.0,49.0
LMBR1L,677.0,332.0,36.0,32.0
LMBRD1,1009.0,822.0,42.0,52.0
LMBRD2,443.0,527.0,12.0,35.0
LMCD1,50.0,150.0,25.0,9.0
LMCD1-AS1,4.0,18.0,0.0,1.0
LMF1,158.0,151.0,8.0,7.0
LMF2,875.0,678.0,54.0,91.0
LMLN,159.0,294.0,7.0,36.0
LMNA,1774.0,7689.0,198.0,822.0
LMNB1,1254.0,449.0,20.0,65.0
LMNB2,550.0,570.0,20.0,114.0
LMO2,1099.0,162.0,242.0,2.0
LMO3,6.0,10.0,0.0,1.0
LMO4,1800.0,2165.0,57.0,141.0
LMO7,278.0,8187.0,14.0,501.0
LMOD1,10.0,12.0,3.0,0.0
LMOD3,14.0,15.0,2.0,1.0
LMTK2,452.0,1480.0,14.0,138.0
LMTK3,12.0,68.0,0.0,3.0
LMX1A,1.0,0.0,0.0,0.0
LMX1B,7.0,13.0,0.0,0.0
LNP1,20.0,50.0,5.0,0.0
LNPEP,4305.0,1537.0,62.0,273.0
LNX1,12.0,300.0,1.0,22.0
LNX2,154.0,468.0,18.0,28.0
LOH12CR1,104.0,82.0,3.0,6.0
LOH12CR2,28.0,26.0,3.0,2.0
LONP1,765.0,1003.0,42.0,64.0
LONP2,2184.0,2297.0,91.0,265.0
LONRF1,235.0,208.0,5.0,46.0
LONRF2,13.0,273.0,3.0,5.0
LONRF3,240.0,167.0,22.0,7.0
LOX,3.0,58.0,4.0,14.0
LOXHD1,6.0,0.0,1.0,0.0
LOXL1,23.0,157.0,0.0,20.0
LOXL1-AS1,67.0,57.0,0.0,3.0
LOXL2,34.0,230.0,30.0,32.0
LOXL3,416.0,34.0,4.0,3.0
LOXL4,11.0,672.0,2.0,43.0
LPA,2.0,2.0,0.0,0.0
LPAR1,139.0,172.0,5.0,43.0
LPAR2,309.0,269.0,3.0,20.0
LPAR3,32.0,23.0,0.0,6.0
LPAR4,12.0,5.0,1.0,0.0
LPAR5,381.0,193.0,2.0,27.0
LPAR6,1831.0,651.0,236.0,33.0
LPCAT1,1294.0,520.0,20.0,47.0
LPCAT2,1451.0,1033.0,38.0,150.0
LPCAT3,677.0,691.0,18.0,129.0
LPCAT4,273.0,770.0,5.0,39.0
LPGAT1,1997.0,1852.0,58.0,136.0
LPHN1,117.0,352.0,12.0,11.0
LPHN2,5.0,97.0,107.0,18.0
LPHN3,3.0,368.0,0.0,25.0
LPIN1,1556.0,724.0,54.0,34.0
LPIN2,3238.0,2174.0,66.0,192.0
LPIN3,27.0,320.0,1.0,17.0
LPL,1158.0,16.0,64.0,0.0
LPO,12.0,4.0,0.0,0.0
LPP,1752.0,3240.0,175.0,162.0
LPP-AS2,93.0,67.0,3.0,3.0
LPPR4,1.0,26.0,3.0,0.0
LPXN,2149.0,143.0,19.0,22.0
LRAT,3.0,171.0,0.0,9.0
LRBA,1128.0,1300.0,28.0,115.0
LRCH1,765.0,1116.0,38.0,34.0
LRCH2,1.0,32.0,3.0,0.0
LRCH3,904.0,526.0,48.0,46.0
LRCH4,1204.0,702.0,23.0,36.0
LRCOL1,0.0,0.0,0.0,0.0
LRFN1,73.0,21.0,3.0,0.0
LRFN2,0.0,0.0,0.0,0.0
LRFN3,39.0,62.0,2.0,3.0
LRFN4,215.0,365.0,13.0,43.0
LRFN5,2.0,8.0,3.0,0.0
LRG1,182.0,605.0,16.0,48.0
LRGUK,9.0,15.0,0.0,1.0
LRIF1,573.0,783.0,17.0,35.0
LRIG1,585.0,543.0,17.0,44.0
LRIG2,377.0,251.0,14.0,12.0
LRIG3,6.0,612.0,18.0,130.0
LRIT2,0.0,0.0,0.0,0.0
LRIT3,0.0,0.0,0.0,0.0
LRMP,1600.0,227.0,37.0,78.0
LRP1,4047.0,897.0,21.0,106.0
LRP10,2885.0,5547.0,122.0,383.0
LRP11,79.0,1290.0,8.0,144.0
LRP12,220.0,135.0,6.0,21.0
LRP1B,9.0,3.0,0.0,0.0
LRP2,1.0,71.0,0.0,0.0
LRP2BP,20.0,52.0,0.0,2.0
LRP3,30.0,54.0,5.0,11.0
LRP4,7.0,24.0,4.0,18.0
LRP4-AS1,0.0,0.0,0.0,0.0
LRP5,42.0,884.0,34.0,39.0
LRP5L,96.0,61.0,7.0,4.0
LRP6,36.0,844.0,75.0,83.0
LRP8,187.0,160.0,4.0,16.0
LRPAP1,3564.0,3402.0,88.0,261.0
LRPPRC,2088.0,2942.0,82.0,496.0
LRR1,198.0,121.0,4.0,28.0
LRRC1,84.0,806.0,7.0,56.0
LRRC10B,1.0,47.0,0.0,0.0
LRRC14,397.0,351.0,19.0,43.0
LRRC15,3.0,3.0,0.0,0.0
LRRC16A,154.0,815.0,10.0,73.0
LRRC16B,24.0,29.0,1.0,1.0
LRRC17,11.0,34.0,18.0,4.0
LRRC18,1.0,0.0,0.0,0.0
LRRC19,0.0,3.0,0.0,0.0
LRRC2,32.0,36.0,1.0,1.0
LRRC20,74.0,180.0,3.0,37.0
LRRC23,118.0,336.0,4.0,23.0
LRRC24,34.0,49.0,1.0,6.0
LRRC25,1056.0,18.0,3.0,0.0
LRRC26,15.0,13.0,0.0,0.0
LRRC27,170.0,119.0,22.0,9.0
LRRC28,230.0,204.0,16.0,13.0
LRRC29,41.0,35.0,4.0,2.0
LRRC3,29.0,11.0,1.0,0.0
LRRC31,5.0,61.0,0.0,0.0
LRRC32,38.0,13.0,112.0,1.0
LRRC34,35.0,39.0,7.0,6.0
LRRC36,12.0,10.0,0.0,0.0
LRRC37A,10.0,9.0,0.0,2.0
LRRC37A2,110.0,64.0,4.0,4.0
LRRC37A3,35.0,85.0,1.0,4.0
LRRC37B,187.0,77.0,7.0,4.0
LRRC39,9.0,7.0,0.0,1.0
LRRC3DN,33.0,20.0,1.0,2.0
LRRC4,73.0,10.0,31.0,0.0
LRRC40,275.0,218.0,13.0,25.0
LRRC41,395.0,461.0,19.0,80.0
LRRC42,152.0,322.0,3.0,35.0
LRRC43,12.0,9.0,1.0,0.0
LRRC45,295.0,293.0,14.0,29.0
LRRC46,11.0,27.0,0.0,1.0
LRRC47,765.0,732.0,34.0,57.0
LRRC48,14.0,36.0,2.0,0.0
LRRC49,15.0,221.0,5.0,14.0
LRRC4B,2.0,103.0,0.0,0.0
LRRC4C,6.0,27.0,1.0,1.0
LRRC53,2.0,95.0,0.0,0.0
LRRC55,1.0,27.0,25.0,1.0
LRRC56,16.0,80.0,4.0,7.0
LRRC57,274.0,313.0,21.0,20.0
LRRC58,1229.0,1068.0,39.0,100.0
LRRC59,1192.0,2057.0,46.0,180.0
LRRC6,77.0,220.0,6.0,13.0
LRRC61,90.0,156.0,2.0,11.0
LRRC63,28.0,6.0,0.0,0.0
LRRC66,0.0,150.0,1.0,1.0
LRRC69,28.0,18.0,3.0,2.0
LRRC7,1.0,4.0,0.0,0.0
LRRC70,0.0,0.0,0.0,0.0
LRRC71,0.0,0.0,0.0,0.0
LRRC73,0.0,22.0,0.0,1.0
LRRC8A,433.0,2371.0,87.0,436.0
LRRC8B,370.0,395.0,27.0,31.0
LRRC8C,1412.0,118.0,57.0,10.0
LRRC8D,715.0,266.0,8.0,21.0
LRRC8E,7.0,198.0,0.0,17.0
LRRCC1,303.0,394.0,18.0,69.0
LRRD1,1.0,0.0,0.0,0.0
LRRFIP1,10711.0,7767.0,282.0,578.0
LRRFIP2,809.0,787.0,74.0,55.0
LRRIQ1,11.0,155.0,0.0,1.0
LRRIQ3,24.0,47.0,0.0,1.0
LRRK1,869.0,363.0,32.0,44.0
LRRK2,1195.0,61.0,27.0,7.0
LRRN1,9.0,323.0,0.0,27.0
LRRN2,6.0,18.0,2.0,0.0
LRRN3,88.0,29.0,8.0,0.0
LRRN4,1.0,27.0,0.0,1.0
LRRN4CL,4.0,2.0,0.0,0.0
LRRTM1,3.0,112.0,0.0,2.0
LRRTM2,2.0,25.0,4.0,1.0
LRRTM3,1.0,1.0,0.0,0.0
LRRTM4,0.0,0.0,0.0,0.0
LRSAM1,352.0,220.0,10.0,28.0
LRTM1,6.0,7.0,0.0,0.0
LRTM2,1.0,0.0,0.0,0.0
LRTOMT,48.0,134.0,4.0,7.0
LRWD1,58.0,105.0,1.0,14.0
LSAMP,10.0,55.0,0.0,0.0
LSAMP-AS1,2.0,25.0,0.0,1.0
LSG1,1163.0,1448.0,73.0,183.0
LSM1,475.0,504.0,22.0,35.0
LSM10,1297.0,592.0,31.0,71.0
LSM11,151.0,164.0,6.0,27.0
LSM12,30.0,37.0,0.0,2.0
LSM14A,2569.0,1758.0,90.0,170.0
LSM14B,639.0,612.0,26.0,47.0
LSM2,318.0,242.0,16.0,38.0
LSM3,983.0,733.0,52.0,106.0
LSM4,1028.0,1187.0,58.0,110.0
LSM5,389.0,483.0,12.0,62.0
LSM6,472.0,254.0,18.0,22.0
LSM7,1109.0,822.0,43.0,87.0
LSMD1,867.0,1016.0,62.0,83.0
LSMEM1,31.0,34.0,3.0,0.0
LSMEM2,12.0,16.0,1.0,2.0
LSR,197.0,4336.0,12.0,334.0
LSS,288.0,224.0,11.0,24.0
LST1,3821.0,72.0,32.0,7.0
LTA,286.0,6.0,4.0,1.0
LTA4H,3145.0,1074.0,78.0,142.0
LTB,8088.0,260.0,194.0,7.0
LTB4R,482.0,104.0,17.0,28.0
LTB4R2,45.0,26.0,1.0,8.0
LTBP1,18.0,508.0,60.0,56.0
LTBP2,150.0,831.0,9.0,246.0
LTBP3,456.0,912.0,34.0,106.0
LTBP4,293.0,245.0,36.0,46.0
LTBR,1276.0,1966.0,65.0,348.0
LTF,7.0,3.0,9.0,0.0
LTK,241.0,45.0,36.0,2.0
LTN1,1296.0,1061.0,61.0,129.0
LTV1,1007.0,557.0,28.0,103.0
LUC7L,1000.0,754.0,89.0,63.0
LUC7L3,2473.0,3203.0,199.0,190.0
LUCAT1,53.0,33.0,0.0,1.0
LUM,34.0,54.0,1.0,0.0
LURAP1,23.0,20.0,1.0,5.0
LURAP1L,5.0,198.0,0.0,18.0
LUZP1,1679.0,1159.0,205.0,170.0
LUZP2,0.0,21.0,0.0,8.0
LXN,138.0,259.0,35.0,17.0
LY6D,19.0,526.0,1.0,952.0
LY6E,1182.0,2538.0,30.0,255.0
LY6G5B,26.0,16.0,0.0,0.0
LY6G5C,43.0,24.0,1.0,1.0
LY6G6C,1.0,14.0,0.0,2.0
LY6K,27.0,25.0,0.0,1.0
LY75,423.0,379.0,7.0,33.0
LY86,1852.0,33.0,17.0,3.0
LY86-AS1,8.0,3.0,0.0,0.0
LY9,1078.0,44.0,10.0,0.0
LY96,432.0,17.0,16.0,1.0
LYAR,800.0,464.0,27.0,82.0
LYG1,21.0,15.0,1.0,0.0
LYG2,2.0,0.0,0.0,0.0
LYL1,451.0,38.0,30.0,0.0
LYN,6810.0,1045.0,115.0,94.0
LYNX1,138.0,324.0,32.0,18.0
LYPD1,9.0,86.0,0.0,5.0
LYPD2,1.0,97.0,1.0,4.0
LYPD3,53.0,261.0,0.0,80.0
LYPD4,0.0,0.0,0.0,0.0
LYPD5,22.0,46.0,8.0,6.0
LYPD6,0.0,66.0,0.0,11.0
LYPD6B,3.0,159.0,0.0,25.0
LYPLA1,605.0,839.0,34.0,52.0
LYPLA2,329.0,391.0,24.0,40.0
LYPLAL1,268.0,270.0,19.0,24.0
LYRM1,281.0,288.0,12.0,23.0
LYRM2,891.0,763.0,38.0,71.0
LYRM4,342.0,246.0,16.0,26.0
LYRM5,237.0,288.0,11.0,33.0
LYRM7,583.0,344.0,24.0,50.0
LYRM9,81.0,76.0,8.0,4.0
LYSMD1,21.0,121.0,2.0,8.0
LYSMD2,654.0,293.0,18.0,24.0
LYSMD3,501.0,398.0,22.0,24.0
LYSMD4,103.0,110.0,1.0,11.0
LYST,4371.0,864.0,94.0,118.0
LYVE1,842.0,6.0,229.0,17.0
LYZ,52196.0,14397.0,630.0,56.0
LZIC,699.0,524.0,17.0,33.0
LZTFL1,223.0,265.0,9.0,23.0
LZTR1,911.0,511.0,38.0,39.0
LZTS1,48.0,35.0,0.0,0.0
LZTS2,279.0,433.0,23.0,61.0
LZTS3,30.0,671.0,3.0,13.0
M1AP,38.0,5.0,0.0,0.0
M6PR,4487.0,1526.0,65.0,297.0
MAATS1,8.0,215.0,1.0,8.0
MAB21L2,6.0,1.0,0.0,0.0
MAB21L3,2.0,15.0,0.0,0.0
MACC1,261.0,2580.0,1.0,196.0
MACF1,14914.0,7299.0,883.0,687.0
MACROD1,33.0,150.0,4.0,26.0
MACROD2,92.0,599.0,6.0,5.0
MAD1L1,613.0,421.0,14.0,30.0
MAD2L1,153.0,136.0,4.0,31.0
MAD2L1BP,212.0,292.0,10.0,20.0
MAD2L2,587.0,339.0,27.0,39.0
MADCAM1,5.0,7.0,3.0,0.0
MADD,1573.0,904.0,64.0,68.0
MAEA,875.0,958.0,33.0,93.0
MAEL,0.0,0.0,0.0,0.0
MAF,2816.0,251.0,258.0,36.0
MAF1,1360.0,1238.0,52.0,124.0
MAFA,0.0,0.0,0.0,0.0
MAFB,6889.0,1070.0,137.0,18.0
MAFF,1626.0,1194.0,49.0,125.0
MAFG,716.0,736.0,35.0,39.0
MAFG-AS1,17.0,141.0,3.0,8.0
MAFK,351.0,690.0,13.0,56.0
MAG,0.0,0.0,0.0,0.0
MAGEA10,0.0,0.0,0.0,0.0
MAGEA11,1.0,67.0,0.0,2.0
MAGEA4,0.0,0.0,0.0,0.0
MAGEB3,0.0,0.0,0.0,0.0
MAGEB4,0.0,0.0,0.0,0.0
MAGED1,501.0,1789.0,62.0,115.0
MAGED2,1198.0,2180.0,172.0,193.0
MAGEE1,41.0,47.0,2.0,4.0
MAGEF1,259.0,654.0,15.0,63.0
MAGEH1,260.0,227.0,21.0,3.0
MAGEL2,0.0,0.0,0.0,0.0
MAGI1,21.0,751.0,124.0,39.0
MAGI1-IT1,0.0,0.0,0.0,0.0
MAGI2,19.0,162.0,4.0,6.0
MAGI2-AS3,18.0,107.0,54.0,16.0
MAGI3,159.0,684.0,46.0,43.0
MAGIX,31.0,164.0,2.0,9.0
MAGOH,432.0,316.0,19.0,31.0
MAGOHB,143.0,199.0,7.0,50.0
MAGT1,1838.0,2169.0,66.0,201.0
MAK,8.0,26.0,2.0,2.0
MAK16,467.0,395.0,22.0,48.0
MAL,627.0,25.0,17.0,1.0
MAL2,70.0,6082.0,6.0,474.0
MALAT1,90783.0,77467.0,4633.0,2431.0
MALL,0.0,114.0,2.0,10.0
MALSU1,286.0,502.0,22.0,59.0
MALT1,1448.0,403.0,43.0,25.0
MAMDC2,10.0,161.0,0.0,24.0
MAMDC2-AS1,4.0,12.0,0.0,0.0
MAMDC4,106.0,162.0,6.0,11.0
MAML1,578.0,467.0,20.0,44.0
MAML2,905.0,839.0,41.0,46.0
MAML3,559.0,321.0,47.0,22.0
MAMLD1,37.0,128.0,9.0,3.0
MAMSTR,7.0,15.0,1.0,0.0
MAN1A1,1769.0,522.0,91.0,12.0
MAN1A2,3735.0,2397.0,165.0,190.0
MAN1B1,777.0,796.0,38.0,76.0
MAN1C1,249.0,40.0,54.0,0.0
MAN2A1,1683.0,1174.0,55.0,93.0
MAN2A2,1187.0,670.0,38.0,22.0
MAN2B1,2317.0,375.0,28.0,25.0
MAN2B2,1506.0,927.0,34.0,67.0
MAN2C1,811.0,532.0,68.0,33.0
MANBA,962.0,376.0,15.0,38.0
MANBAL,305.0,1141.0,30.0,150.0
MANEA,391.0,226.0,13.0,25.0
MANEA-AS1,17.0,6.0,0.0,0.0
MANEAL,57.0,201.0,0.0,11.0
MANF,885.0,878.0,51.0,90.0
MANSC1,17.0,949.0,28.0,83.0
MANSC4,0.0,0.0,0.0,0.0
MAOA,70.0,771.0,15.0,179.0
MAOB,13.0,649.0,1.0,61.0
MAP10,115.0,227.0,4.0,15.0
MAP1A,294.0,324.0,3.0,4.0
MAP1B,125.0,7336.0,155.0,34.0
MAP1LC3A,59.0,194.0,11.0,8.0
MAP1LC3B,2719.0,1681.0,101.0,111.0
MAP1LC3B2,69.0,46.0,0.0,8.0
MAP1LC3C,1.0,0.0,0.0,0.0
MAP1S,540.0,328.0,21.0,24.0
MAP2,29.0,761.0,34.0,38.0
MAP2K1,1350.0,697.0,26.0,32.0
MAP2K2,1124.0,920.0,50.0,95.0
MAP2K3,670.0,447.0,15.0,44.0
MAP2K4,704.0,476.0,32.0,36.0
MAP2K5,313.0,264.0,10.0,24.0
MAP2K6,276.0,340.0,11.0,3.0
MAP2K7,842.0,638.0,35.0,72.0
MAP3K1,3385.0,1199.0,62.0,69.0
MAP3K10,104.0,71.0,8.0,13.0
MAP3K11,1331.0,929.0,84.0,55.0
MAP3K12,280.0,151.0,23.0,6.0
MAP3K13,457.0,1404.0,53.0,121.0
MAP3K14,920.0,239.0,15.0,29.0
MAP3K14-AS1,21.0,20.0,1.0,5.0
MAP3K15,13.0,157.0,0.0,0.0
MAP3K19,3.0,18.0,0.0,0.0
MAP3K2,3684.0,2221.0,60.0,146.0
MAP3K3,2172.0,436.0,115.0,32.0
MAP3K4,906.0,502.0,46.0,62.0
MAP3K5,1737.0,971.0,36.0,92.0
MAP3K6,215.0,259.0,69.0,41.0
MAP3K7,1071.0,669.0,44.0,74.0
MAP3K7CL,115.0,50.0,1.0,3.0
MAP3K8,1631.0,250.0,33.0,19.0
MAP3K9,79.0,308.0,3.0,28.0
MAP4,3440.0,2798.0,244.0,363.0
MAP4K1,1426.0,76.0,14.0,1.0
MAP4K2,468.0,175.0,22.0,11.0
MAP4K3,336.0,806.0,31.0,55.0
MAP4K4,2336.0,2960.0,242.0,387.0
MAP4K5,999.0,1106.0,66.0,79.0
MAP6,5.0,203.0,6.0,3.0
MAP6D1,16.0,13.0,0.0,2.0
MAP7,173.0,1087.0,0.0,66.0
MAP7D1,2718.0,1362.0,103.0,208.0
MAP7D2,6.0,270.0,1.0,7.0
MAP7D3,809.0,236.0,79.0,43.0
MAP9,175.0,754.0,6.0,73.0
MAPK1,2834.0,1634.0,91.0,160.0
MAPK10,11.0,152.0,1.0,8.0
MAPK11,106.0,59.0,48.0,17.0
MAPK12,58.0,86.0,26.0,15.0
MAPK13,450.0,927.0,8.0,76.0
MAPK14,2285.0,1307.0,74.0,92.0
MAPK15,2.0,29.0,0.0,2.0
MAPK1IP1L,1596.0,1191.0,51.0,129.0
MAPK3,472.0,1083.0,61.0,33.0
MAPK4,5.0,10.0,0.0,0.0
MAPK6,910.0,1020.0,22.0,97.0
MAPK7,193.0,92.0,8.0,10.0
MAPK8,298.0,299.0,15.0,36.0
MAPK8IP1,14.0,193.0,2.0,2.0
MAPK8IP2,9.0,120.0,0.0,4.0
MAPK8IP3,688.0,703.0,30.0,55.0
MAPK9,691.0,782.0,30.0,71.0
MAPKAP1,2734.0,1699.0,78.0,227.0
MAPKAPK2,3240.0,1785.0,102.0,149.0
MAPKAPK3,1822.0,514.0,13.0,85.0
MAPKAPK5,593.0,576.0,25.0,51.0
MAPKAPK5-AS1,387.0,429.0,26.0,27.0
MAPKBP1,335.0,204.0,26.0,21.0
MAPRE1,2203.0,1571.0,57.0,138.0
MAPRE2,1742.0,742.0,98.0,13.0
MAPRE3,51.0,131.0,4.0,5.0
MAPT,28.0,148.0,0.0,4.0
MARC1,64.0,143.0,5.0,26.0
MARC2,22.0,157.0,5.0,8.0
MARCH1,2892.0,125.0,16.0,5.0
MARCH10,15.0,49.0,0.0,0.0
MARCH2,828.0,303.0,46.0,13.0
MARCH3,100.0,150.0,12.0,16.0
MARCH4,2.0,65.0,0.0,8.0
MARCH5,341.0,409.0,24.0,43.0
MARCH6,2034.0,2627.0,108.0,221.0
MARCH7,2163.0,1305.0,89.0,120.0
MARCH8,1190.0,615.0,59.0,63.0
MARCH9,524.0,418.0,18.0,15.0
MARCKS,4248.0,2093.0,221.0,285.0
MARCKSL1,600.0,1770.0,200.0,89.0
MARCO,3618.0,63.0,21.0,5.0
MARK1,1.0,97.0,7.0,16.0
MARK2,1946.0,1362.0,53.0,137.0
MARK3,2590.0,1797.0,117.0,164.0
MARK4,266.0,284.0,32.0,26.0
MARS,1604.0,1782.0,52.0,114.0
MARS2,98.0,87.0,1.0,6.0
MARVELD1,389.0,363.0,21.0,100.0
MARVELD2,27.0,1211.0,8.0,76.0
MARVELD3,30.0,601.0,3.0,40.0
MASP1,11.0,79.0,57.0,0.0
MASP2,12.0,4.0,0.0,0.0
MAST1,8.0,47.0,1.0,2.0
MAST2,399.0,591.0,14.0,45.0
MAST3,534.0,207.0,12.0,10.0
MAST4,471.0,946.0,111.0,89.0
MAST4-AS1,3.0,21.0,1.0,0.0
MASTL,494.0,258.0,14.0,34.0
MAT1A,16.0,28.0,1.0,1.0
MAT2A,1372.0,1393.0,33.0,92.0
MAT2B,1624.0,1245.0,52.0,104.0
MATK,1190.0,46.0,26.0,0.0
MATN1,14.0,4.0,1.0,0.0
MATN1-AS1,62.0,21.0,0.0,1.0
MATN2,51.0,218.0,90.0,4.0
MATN3,5.0,52.0,0.0,7.0
MATN4,1.0,6.0,0.0,0.0
MATR3,6284.0,4641.0,227.0,501.0
MAU2,870.0,658.0,29.0,53.0
MAVS,599.0,608.0,40.0,87.0
MAX,1672.0,761.0,60.0,75.0
MAZ,770.0,611.0,27.0,63.0
MB,5.0,11.0,0.0,2.0
MB21D1,762.0,259.0,14.0,29.0
MB21D2,270.0,66.0,8.0,5.0
MBD1,1081.0,808.0,33.0,62.0
MBD2,3542.0,1355.0,109.0,163.0
MBD3,923.0,525.0,45.0,71.0
MBD3L1,2.0,0.0,0.0,0.0
MBD4,1411.0,699.0,66.0,87.0
MBD5,329.0,259.0,31.0,23.0
MBD6,432.0,375.0,20.0,39.0
MBIP,281.0,416.0,13.0,30.0
MBL2,1.0,0.0,0.0,0.0
MBLAC1,40.0,38.0,2.0,3.0
MBLAC2,150.0,100.0,3.0,11.0
MBNL1,9736.0,1804.0,212.0,197.0
MBNL1-AS1,94.0,28.0,7.0,3.0
MBNL2,938.0,2801.0,98.0,176.0
MBNL3,870.0,417.0,12.0,31.0
MBOAT1,415.0,413.0,9.0,24.0
MBOAT2,146.0,2032.0,6.0,143.0
MBOAT4,0.0,0.0,0.0,0.0
MBOAT7,1023.0,1137.0,35.0,94.0
MBP,3896.0,1749.0,60.0,111.0
MBTD1,400.0,401.0,20.0,23.0
MBTPS1,1447.0,1772.0,86.0,153.0
MBTPS2,254.0,430.0,17.0,35.0
MC1R,57.0,142.0,3.0,8.0
MCAM,84.0,355.0,283.0,8.0
MCAT,177.0,361.0,14.0,51.0
MCC,184.0,213.0,42.0,99.0
MCCC1,359.0,304.0,14.0,34.0
MCCC2,425.0,680.0,18.0,40.0
MCEE,86.0,119.0,2.0,4.0
MCF2,7.0,3.0,1.0,3.0
MCF2L,79.0,510.0,103.0,11.0
MCF2L-AS1,22.0,27.0,2.0,0.0
MCF2L2,99.0,62.0,1.0,6.0
MCFD2,1384.0,3053.0,89.0,326.0
