,immune,endo,fibro,classic,basal
PPHLN1,507.0,539.0,370.0,992.0,30.0
ZCRB1,631.0,774.0,657.0,2471.0,88.0
PRICKLE1,9.0,76.0,100.0,43.0,2.0
RP11-350F4.2,38.0,67.0,37.0,125.0,1.0
PUS7L,140.0,205.0,126.0,273.0,9.0
IRAK4,125.0,226.0,85.0,252.0,6.0
TWF1,150.0,316.0,233.0,1243.0,33.0
TMEM117,14.0,39.0,39.0,73.0,2.0
NELL2,36.0,9.0,7.0,56.0,4.0
ANO6,143.0,432.0,327.0,572.0,32.0
LINC00938,104.0,154.0,82.0,312.0,2.0
ARID2,125.0,247.0,101.0,428.0,11.0
SCAF11,863.0,1367.0,674.0,1787.0,53.0
SLC38A1,260.0,111.0,69.0,1136.0,40.0
SLC38A2,440.0,1135.0,749.0,1599.0,89.0
RP11-96H19.1,12.0,10.0,5.0,26.0,1.0
RP11-446N19.1,25.0,17.0,13.0,44.0,2.0
SLC38A4,1.0,1.0,14.0,7.0,0.0
AMIGO2,67.0,95.0,126.0,397.0,16.0
PCED1B,136.0,55.0,22.0,108.0,3.0
RP11-493L12.3,0.0,2.0,0.0,9.0,0.0
RPAP3,121.0,129.0,81.0,278.0,13.0
RP1-197B17.3,13.0,15.0,7.0,34.0,1.0
ENDOU,0.0,35.0,2.0,5.0,0.0
RAPGEF3,37.0,909.0,40.0,158.0,6.0
SLC48A1,60.0,299.0,70.0,214.0,3.0
HDAC7,176.0,1344.0,271.0,885.0,44.0
AC004466.1,3.0,4.0,2.0,15.0,0.0
VDR,115.0,18.0,85.0,202.0,3.0
TMEM106C,216.0,129.0,222.0,1033.0,49.0
SENP1,42.0,83.0,32.0,101.0,4.0
PFKM,31.0,169.0,139.0,153.0,10.0
ASB8,156.0,210.0,116.0,354.0,11.0
C12orf68,0.0,27.0,59.0,9.0,0.0
DKFZP779L1853,6.0,12.0,2.0,16.0,0.0
ZNF641,45.0,72.0,39.0,81.0,3.0
KANSL2,87.0,132.0,80.0,224.0,5.0
CCNT1,105.0,246.0,73.0,326.0,15.0
LINC00935,0.0,0.0,0.0,15.0,0.0
ADCY6,31.0,149.0,97.0,273.0,9.0
RP11-579D7.4,3.0,6.0,1.0,33.0,0.0
CACNB3,27.0,72.0,78.0,223.0,6.0
DDX23,141.0,243.0,102.0,542.0,19.0
RND1,18.0,423.0,17.0,312.0,1.0
RP11-302B13.5,0.0,2.0,10.0,4.0,0.0
CCDC65,11.0,4.0,3.0,8.0,0.0
FKBP11,920.0,404.0,573.0,782.0,18.0
ARF3,645.0,824.0,460.0,1413.0,93.0
RP11-386G11.5,13.0,7.0,6.0,36.0,2.0
PRKAG1,308.0,322.0,243.0,680.0,27.0
KMT2D,72.0,185.0,55.0,214.0,6.0
RHEBL1,13.0,13.0,9.0,43.0,0.0
DHH,0.0,55.0,1.0,2.0,1.0
LMBR1L,133.0,296.0,105.0,187.0,3.0
RP11-386G11.10,22.0,34.0,19.0,48.0,7.0
TUBA1B,7485.0,4826.0,4311.0,7150.0,486.0
TUBA1A,956.0,1985.0,2613.0,821.0,108.0
TUBA1C,729.0,373.0,588.0,2370.0,100.0
PRPH,3.0,8.0,12.0,10.0,0.0
TROAP,72.0,13.0,7.0,220.0,7.0
DNAJC22,4.0,9.0,23.0,241.0,1.0
SPATS2,163.0,401.0,244.0,490.0,15.0
MCRS1,185.0,221.0,165.0,608.0,26.0
PRPF40B,24.0,69.0,57.0,188.0,5.0
FAM186B,1.0,0.0,0.0,1.0,0.0
FMNL3,130.0,205.0,63.0,27.0,1.0
TMBIM6,3809.0,3923.0,2075.0,13175.0,397.0
NCKAP5L,97.0,165.0,97.0,87.0,4.0
BCDIN3D-AS1,3.0,3.0,3.0,8.0,0.0
BCDIN3D,28.0,45.0,35.0,130.0,8.0
FAIM2,7.0,3.0,28.0,51.0,0.0
RP11-469H8.6,6.0,10.0,8.0,341.0,5.0
AQP5,45.0,48.0,50.0,1718.0,16.0
RACGAP1,110.0,18.0,28.0,173.0,1.0
SMARCD1,106.0,302.0,103.0,408.0,17.0
GPD1,4.0,3.0,1.0,86.0,0.0
COX14,1007.0,1321.0,865.0,3462.0,118.0
CERS5,133.0,197.0,153.0,266.0,12.0
LIMA1,192.0,1041.0,740.0,3504.0,67.0
LARP4,126.0,275.0,107.0,413.0,23.0
DIP2B,135.0,265.0,71.0,446.0,10.0
ATF1,186.0,237.0,185.0,424.0,22.0
METTL7A,396.0,648.0,538.0,1019.0,22.0
SLC11A2,185.0,128.0,110.0,575.0,20.0
LETMD1,205.0,216.0,181.0,644.0,14.0
CSRNP2,29.0,106.0,73.0,137.0,2.0
TFCP2,85.0,114.0,71.0,275.0,13.0
POU6F1,5.0,50.0,21.0,33.0,1.0
DAZAP2,1527.0,1703.0,795.0,3367.0,98.0
SMAGP,71.0,449.0,46.0,1516.0,30.0
BIN2,473.0,29.0,23.0,51.0,3.0
GALNT6,83.0,24.0,12.0,408.0,8.0
SLC4A8,16.0,5.0,6.0,9.0,1.0
SCN8A,1.0,8.0,3.0,12.0,0.0
ACVRL1,59.0,1305.0,179.0,77.0,5.0
ACVR1B,75.0,130.0,77.0,476.0,13.0
GRASP,106.0,771.0,56.0,57.0,3.0
NR4A1,500.0,2957.0,1693.0,1282.0,32.0
RP11-1100L3.8,11.0,23.0,10.0,13.0,1.0
C12orf44,271.0,381.0,342.0,920.0,39.0
KRT80,14.0,47.0,17.0,392.0,11.0
LINC00592,0.0,0.0,1.0,11.0,1.0
KRT7,497.0,399.0,392.0,16316.0,1055.0
KRT86,31.0,8.0,9.0,48.0,1.0
KRT81,27.0,6.0,8.0,108.0,2.0
KRT6B,42.0,10.0,11.0,730.0,30.0
KRT6C,0.0,0.0,0.0,2.0,0.0
KRT6A,24.0,11.0,9.0,354.0,271.0
KRT5,28.0,28.0,16.0,200.0,368.0
KRT4,3.0,2.0,1.0,28.0,5.0
KRT8,873.0,1288.0,1137.0,37260.0,1253.0
KRT18,621.0,1244.0,1099.0,31617.0,1240.0
EIF4B,876.0,1916.0,879.0,2355.0,89.0
RP11-983P16.4,11.0,113.0,71.0,154.0,6.0
TENC1,61.0,1546.0,357.0,249.0,9.0
SPRYD3,72.0,224.0,114.0,253.0,12.0
IGFBP6,243.0,639.0,2029.0,783.0,51.0
SOAT2,1.0,0.0,0.0,1.0,0.0
CSAD,107.0,358.0,175.0,389.0,6.0
ZNF740,29.0,82.0,28.0,76.0,2.0
ITGB7,258.0,27.0,11.0,60.0,4.0
RARG,31.0,108.0,69.0,265.0,12.0
MFSD5,82.0,118.0,89.0,267.0,9.0
ESPL1,16.0,1.0,4.0,25.0,0.0
PFDN5,9221.0,8020.0,7236.0,14839.0,540.0
RP11-680A11.5,27.0,2.0,31.0,5.0,0.0
C12orf10,253.0,415.0,330.0,834.0,34.0
AAAS,118.0,138.0,123.0,300.0,13.0
SP1,119.0,298.0,145.0,752.0,21.0
PRR13,1658.0,1175.0,692.0,6098.0,137.0
PCBP2,2030.0,3193.0,1782.0,5065.0,208.0
MAP3K12,19.0,92.0,39.0,17.0,0.0
RP11-793H13.11,9.0,14.0,8.0,19.0,0.0
TARBP2,76.0,108.0,61.0,244.0,10.0
RP11-793H13.10,7.0,13.0,3.0,18.0,0.0
ATF7,163.0,376.0,182.0,599.0,20.0
RP11-793H13.3,3.0,5.0,2.0,3.0,0.0
ATP5G2,5465.0,4538.0,3321.0,13167.0,474.0
CALCOCO1,134.0,362.0,218.0,558.0,11.0
HOXC11,2.0,3.0,1.0,111.0,0.0
HOXC10,0.0,6.0,9.0,188.0,3.0
HOXC6,2.0,0.0,55.0,131.0,2.0
HOXC9,3.0,3.0,40.0,108.0,3.0
HOXC-AS1,1.0,0.0,7.0,16.0,0.0
HOXC8,4.0,1.0,33.0,142.0,4.0
HOXC4.1,1.0,0.0,0.0,8.0,0.0
RP11-834C11.6,0.0,0.0,1.0,0.0,0.0
RP11-834C11.4,34.0,21.0,84.0,624.0,3.0
SMUG1,186.0,174.0,156.0,856.0,32.0
CBX5,276.0,445.0,344.0,646.0,28.0
HNRNPA1,8221.0,9213.0,6302.0,14657.0,481.0
COPZ1,714.0,660.0,560.0,2305.0,80.0
RP11-753H16.3,1.0,12.0,3.0,0.0,0.0
GPR84,161.0,5.0,6.0,16.0,0.0
ZNF385A,338.0,75.0,63.0,94.0,15.0
ITGA5,246.0,2148.0,432.0,237.0,23.0
GTSF1,53.0,6.0,0.0,22.0,4.0
NCKAP1L,455.0,18.0,26.0,40.0,2.0
PDE1B,19.0,5.0,45.0,6.0,0.0
PPP1R1A,1.0,7.0,8.0,19.0,0.0
TESPA1,63.0,8.0,6.0,15.0,1.0
METTL7B,37.0,4.0,7.0,313.0,6.0
ITGA7,31.0,45.0,242.0,57.0,5.0
RP11-644F5.10,0.0,3.0,1.0,8.0,0.0
BLOC1S1,2243.0,1783.0,1121.0,5060.0,111.0
RDH5,36.0,69.0,84.0,222.0,3.0
CD63,10059.0,10058.0,13173.0,26482.0,1025.0
RP11-644F5.11,17.0,36.0,16.0,53.0,0.0
GDF11,2.0,17.0,25.0,13.0,1.0
SARNP,166.0,223.0,149.0,405.0,18.0
ORMDL2,636.0,577.0,256.0,1970.0,73.0
DNAJC14,91.0,152.0,69.0,217.0,7.0
MMP19,196.0,31.0,356.0,57.0,8.0
WIBG,306.0,267.0,145.0,698.0,22.0
DGKA,183.0,124.0,79.0,364.0,14.0
CDK2,76.0,158.0,64.0,163.0,6.0
RAB5B,194.0,367.0,246.0,1051.0,37.0
SUOX,33.0,74.0,43.0,148.0,3.0
IKZF4,42.0,50.0,50.0,58.0,1.0
RPS26,6594.0,7972.0,6552.0,16081.0,901.0
ERBB3,84.0,100.0,69.0,3673.0,50.0
PA2G4,1106.0,1260.0,940.0,2597.0,121.0
RPL41,59466.0,51969.0,47494.0,156961.0,5219.0
ZC3H10,32.0,51.0,25.0,38.0,1.0
ESYT1,251.0,409.0,132.0,355.0,14.0
MYL6B,248.0,498.0,474.0,743.0,31.0
MYL6,13202.0,17464.0,15042.0,30974.0,1105.0
SMARCC2,171.0,454.0,211.0,645.0,26.0
RNF41,109.0,119.0,97.0,222.0,10.0
NABP2,199.0,215.0,203.0,616.0,19.0
SLC39A5,13.0,29.0,9.0,254.0,0.0
ANKRD52,52.0,103.0,47.0,183.0,7.0
COQ10A,54.0,83.0,66.0,113.0,5.0
CS,177.0,245.0,121.0,473.0,20.0
RP11-977G19.11,46.0,70.0,37.0,118.0,6.0
RP11-977G19.12,0.0,1.0,0.0,2.0,0.0
CNPY2,667.0,1093.0,706.0,2563.0,93.0
PAN2,69.0,167.0,56.0,183.0,7.0
IL23A,25.0,3.0,6.0,120.0,11.0
STAT2,275.0,303.0,351.0,571.0,23.0
TIMELESS,38.0,36.0,20.0,68.0,2.0
SPRYD4,77.0,90.0,57.0,248.0,8.0
GLS2,2.0,7.0,3.0,18.0,1.0
RBMS2,29.0,138.0,34.0,116.0,7.0
BAZ2A,244.0,603.0,243.0,1007.0,32.0
ATP5B,2081.0,2204.0,1689.0,4790.0,216.0
PTGES3,1871.0,2085.0,1628.0,6033.0,190.0
NACA,10175.0,11694.0,8297.0,26093.0,835.0
PRIM1,62.0,55.0,23.0,71.0,3.0
HSD17B6,3.0,5.0,108.0,4.0,0.0
RDH16,1.0,4.0,1.0,11.0,3.0
ZBTB39,14.0,40.0,11.0,31.0,1.0
MYO1A,5.0,8.0,7.0,165.0,0.0
TMEM194A,35.0,48.0,29.0,72.0,5.0
NAB2,104.0,160.0,134.0,170.0,11.0
STAT6,276.0,468.0,220.0,1155.0,30.0
LRP1,430.0,95.0,1014.0,632.0,20.0
NXPH4,9.0,4.0,16.0,45.0,1.0
SHMT2,232.0,163.0,203.0,513.0,13.0
NDUFA4L2,160.0,339.0,3747.0,1758.0,79.0
STAC3,137.0,10.0,7.0,33.0,0.0
R3HDM2,182.0,323.0,200.0,601.0,25.0
ARHGAP9,337.0,30.0,30.0,56.0,3.0
MARS,192.0,171.0,111.0,411.0,13.0
DDIT3,244.0,216.0,431.0,1858.0,46.0
MBD6,110.0,263.0,90.0,497.0,18.0
DCTN2,444.0,660.0,584.0,1221.0,55.0
KIF5A,2.0,0.0,3.0,4.0,0.0
PIP4K2C,55.0,60.0,56.0,427.0,21.0
DTX3,40.0,71.0,208.0,131.0,3.0
ARHGEF25,9.0,16.0,183.0,12.0,1.0
SLC26A10,2.0,2.0,20.0,6.0,0.0
B4GALNT1,5.0,3.0,48.0,11.0,1.0
OS9,745.0,1015.0,713.0,1716.0,71.0
RP11-571M6.7,6.0,4.0,1.0,5.0,0.0
AGAP2,32.0,2.0,13.0,7.0,0.0
AGAP2-AS1,20.0,198.0,168.0,262.0,12.0
TSPAN31,142.0,350.0,198.0,720.0,20.0
CDK4,306.0,481.0,527.0,924.0,55.0
MARCH9,67.0,112.0,49.0,256.0,15.0
CYP27B1,8.0,2.0,2.0,24.0,0.0
METTL1,77.0,109.0,94.0,196.0,5.0
METTL21B,41.0,51.0,48.0,66.0,5.0
TSFM,187.0,262.0,153.0,452.0,22.0
AVIL,26.0,72.0,34.0,239.0,3.0
RP11-571M6.17,2.0,4.0,6.0,4.0,1.0
CTDSP2,261.0,741.0,510.0,976.0,31.0
RP11-620J15.3,76.0,154.0,96.0,82.0,3.0
XRCC6BP1,42.0,43.0,27.0,149.0,6.0
LRIG3,24.0,115.0,121.0,541.0,17.0
RP11-150C16.1,0.0,3.0,2.0,17.0,0.0
SLC16A7,49.0,100.0,32.0,146.0,3.0
FAM19A2,25.0,7.0,9.0,32.0,0.0
USP15,554.0,382.0,173.0,581.0,15.0
MON2,89.0,186.0,104.0,353.0,10.0
RP11-631N16.2,3.0,10.0,2.0,14.0,0.0
PPM1H,26.0,57.0,15.0,212.0,7.0
AVPR1A,1.0,1.0,19.0,8.0,0.0
DPY19L2,11.0,22.0,76.0,21.0,0.0
TMEM5,80.0,158.0,134.0,321.0,20.0
SRGAP1,182.0,247.0,169.0,530.0,24.0
C12orf66,29.0,47.0,17.0,101.0,4.0
C12orf56,1.0,0.0,0.0,15.0,1.0
XPOT,103.0,243.0,170.0,449.0,16.0
TBK1,153.0,266.0,130.0,394.0,12.0
RASSF3,179.0,347.0,86.0,598.0,18.0
GNS,465.0,532.0,241.0,756.0,23.0
TBC1D30,12.0,30.0,7.0,86.0,2.0
LEMD3,70.0,168.0,75.0,211.0,10.0
MSRB3,32.0,435.0,625.0,59.0,10.0
HMGA2,9.0,3.0,15.0,135.0,10.0
LLPH,435.0,453.0,271.0,1065.0,24.0
TMBIM4.1,1867.0,2519.0,1407.0,4324.0,162.0
IRAK3,317.0,500.0,124.0,267.0,1.0
HELB,26.0,10.0,7.0,23.0,0.0
GRIP1,13.0,0.0,8.0,21.0,0.0
CAND1,200.0,428.0,245.0,802.0,28.0
DYRK2,73.0,127.0,140.0,567.0,9.0
IFNG-AS1,14.0,0.0,3.0,1.0,0.0
IFNG,110.0,12.0,12.0,9.0,0.0
MDM1,59.0,69.0,41.0,90.0,5.0
RP11-81H14.2,29.0,2.0,3.0,12.0,2.0
RAP1B,1381.0,1858.0,1057.0,2375.0,87.0
RP11-637A17.2,10.0,10.0,3.0,12.0,0.0
NUP107,199.0,264.0,136.0,375.0,15.0
SLC35E3,124.0,86.0,98.0,295.0,16.0
MDM2,206.0,185.0,157.0,469.0,13.0
RP11-611O2.1,4.0,1.0,0.0,4.0,1.0
RP11-611O2.5,6.0,0.0,3.0,2.0,0.0
CPM,725.0,364.0,484.0,648.0,11.0
CPSF6,201.0,327.0,233.0,729.0,29.0
LYZ,19648.0,1310.0,858.0,40345.0,159.0
RP11-1143G9.4,339.0,66.0,30.0,1448.0,6.0
YEATS4,241.0,171.0,94.0,475.0,12.0
FRS2,38.0,83.0,72.0,165.0,4.0
CCT2,541.0,842.0,630.0,1385.0,83.0
BEST3,1.0,2.0,0.0,2.0,0.0
RAB3IP,80.0,180.0,47.0,679.0,15.0
MYRFL,2.0,7.0,3.0,27.0,0.0
RP11-611E13.2,84.0,153.0,86.0,272.0,5.0
CNOT2,304.0,581.0,329.0,890.0,32.0
KCNMB4,7.0,99.0,44.0,11.0,1.0
PTPRB,32.0,2481.0,42.0,190.0,5.0
PTPRR,1.0,45.0,7.0,425.0,9.0
CTD-2021H9.3,0.0,1.0,1.0,8.0,2.0
TSPAN8,366.0,623.0,402.0,23881.0,91.0
LGR5,5.0,3.0,23.0,128.0,0.0
ZFC3H1,168.0,248.0,128.0,507.0,15.0
THAP2,78.0,66.0,72.0,198.0,11.0
TMEM19,191.0,181.0,61.0,428.0,15.0
RAB21,253.0,530.0,272.0,855.0,29.0
TBC1D15,224.0,664.0,191.0,563.0,13.0
TRHDE,8.0,2.0,2.0,33.0,1.0
ATXN7L3B,112.0,263.0,149.0,878.0,17.0
CAPS2,4.0,21.0,12.0,23.0,1.0
GLIPR1L2,5.0,18.0,17.0,25.0,1.0
GLIPR1,1318.0,69.0,616.0,226.0,18.0
KRR1,223.0,463.0,241.0,779.0,35.0
PHLDA1,498.0,692.0,2729.0,1228.0,144.0
RP11-290L1.3,4.0,3.0,1.0,3.0,0.0
NAP1L1,3354.0,3323.0,3564.0,4239.0,266.0
BBS10,29.0,58.0,66.0,95.0,1.0
OSBPL8,508.0,489.0,563.0,614.0,30.0
ZDHHC17,72.0,247.0,89.0,187.0,8.0
CSRP2,81.0,778.0,1529.0,161.0,24.0
E2F7,12.0,2.0,2.0,44.0,1.0
RP1-34H18.1,1.0,10.0,2.0,3.0,1.0
NAV3,4.0,63.0,49.0,18.0,2.0
SYT1,6.0,16.0,19.0,24.0,1.0
PAWR,51.0,204.0,404.0,1187.0,38.0
PPP1R12A,575.0,1125.0,889.0,877.0,38.0
OTOGL,0.0,0.0,0.0,1.0,0.0
LIN7A,20.0,9.0,81.0,14.0,1.0
ACSS3,3.0,12.0,53.0,5.0,0.0
CCDC59,437.0,624.0,391.0,1183.0,30.0
METTL25,41.0,61.0,35.0,91.0,4.0
TMTC2,36.0,107.0,44.0,356.0,6.0
LRRIQ1,4.0,20.0,6.0,66.0,0.0
ALX1,0.0,0.0,0.0,3.0,0.0
RASSF9,5.0,78.0,8.0,90.0,5.0
NTS,35.0,79.0,21.0,2648.0,0.0
MGAT4C,1.0,0.0,1.0,0.0,0.0
C12orf50,0.0,10.0,1.0,5.0,0.0
C12orf29,86.0,129.0,119.0,234.0,8.0
CEP290,86.0,305.0,161.0,342.0,11.0
TMTC3,47.0,168.0,163.0,182.0,19.0
KITLG,14.0,174.0,110.0,437.0,10.0
DUSP6,294.0,2286.0,161.0,1381.0,43.0
POC1B,79.0,130.0,52.0,500.0,2.0
RP11-734K2.4,10.0,10.0,6.0,80.0,2.0
ATP2B1,526.0,1055.0,301.0,840.0,43.0
LINC00936,359.0,142.0,67.0,98.0,9.0
EPYC,7.0,0.0,289.0,13.0,1.0
KERA,1.0,0.0,23.0,1.0,0.0
LUM,975.0,684.0,36394.0,1699.0,167.0
DCN,585.0,475.0,22981.0,1131.0,95.0
C12orf79,20.0,4.0,1.0,7.0,1.0
BTG1,8019.0,6444.0,2340.0,6096.0,197.0
RP11-796E2.4,201.0,41.0,28.0,57.0,3.0
CLLU1OS,24.0,0.0,0.0,4.0,0.0
RP11-693J15.5,32.0,4.0,8.0,8.0,0.0
PLEKHG7,1.0,5.0,1.0,26.0,2.0
EEA1,200.0,344.0,346.0,385.0,9.0
RP11-486A14.2,0.0,1.0,4.0,3.0,0.0
NUDT4,272.0,1044.0,766.0,1548.0,42.0
UBE2N,940.0,997.0,810.0,1626.0,62.0
MRPL42,346.0,532.0,384.0,1197.0,62.0
SOCS2,88.0,1857.0,247.0,83.0,3.0
CRADD,103.0,206.0,76.0,232.0,4.0
PLXNC1,212.0,26.0,106.0,38.0,1.0
RP11-1105G2.3,0.0,2.0,2.0,5.0,0.0
CCDC41,49.0,89.0,57.0,114.0,2.0
TMCC3,82.0,568.0,26.0,295.0,6.0
NDUFA12,1198.0,2931.0,1067.0,3565.0,110.0
NR2C1,65.0,176.0,88.0,308.0,7.0
FGD6,39.0,240.0,61.0,645.0,21.0
VEZT,203.0,633.0,278.0,1399.0,31.0
METAP2,654.0,1170.0,710.0,1873.0,86.0
USP44,3.0,43.0,9.0,12.0,1.0
NTN4,45.0,492.0,168.0,775.0,18.0
SNRPF,1573.0,1774.0,1048.0,4489.0,153.0
AMDHD1,13.0,8.0,0.0,6.0,0.0
HAL,3.0,3.0,0.0,5.0,0.0
LTA4H,938.0,601.0,267.0,839.0,44.0
ELK3,199.0,2028.0,216.0,570.0,30.0
CDK17,91.0,510.0,118.0,215.0,12.0
C12orf55,3.0,25.0,3.0,8.0,0.0
NEDD1,45.0,87.0,55.0,115.0,3.0
RP11-181C3.1,28.0,12.0,9.0,75.0,1.0
TMPO-AS1,21.0,26.0,7.0,63.0,1.0
TMPO,353.0,341.0,120.0,979.0,15.0
SLC25A3,2233.0,2677.0,2096.0,5088.0,210.0
IKBIP,326.0,592.0,461.0,206.0,15.0
APAF1,97.0,110.0,34.0,224.0,4.0
ANKS1B,8.0,8.0,4.0,2.0,1.0
UHRF1BP1L,64.0,58.0,53.0,108.0,4.0
ACTR6,145.0,191.0,133.0,313.0,7.0
DEPDC4,4.0,6.0,2.0,13.0,1.0
SCYL2,144.0,226.0,104.0,484.0,11.0
NR1H4,4.0,11.0,7.0,83.0,0.0
GAS2L3,50.0,20.0,19.0,171.0,1.0
UTP20,45.0,119.0,49.0,120.0,7.0
ARL1,327.0,598.0,685.0,1731.0,54.0
MYBPC1,3.0,5.0,2.0,150.0,0.0
CHPT1,254.0,153.0,214.0,2131.0,60.0
SYCP3,3.0,1.0,2.0,9.0,0.0
GNPTAB,345.0,240.0,184.0,470.0,21.0
DRAM1,173.0,165.0,116.0,354.0,10.0
CCDC53,415.0,437.0,357.0,1232.0,23.0
RP11-554E23.4,2.0,1.0,0.0,6.0,0.0
NUP37,168.0,161.0,115.0,462.0,7.0
PARPBP,48.0,13.0,21.0,88.0,5.0
PMCH,21.0,3.0,10.0,5.0,1.0
IGF1,61.0,20.0,843.0,16.0,1.0
PAH,6.0,33.0,8.0,18.0,2.0
ASCL1,0.0,0.0,0.0,1.0,0.0
C12orf42,8.0,1.0,4.0,1.0,0.0
RP11-341G23.4,4.0,3.0,3.0,9.0,0.0
NT5DC3,23.0,14.0,43.0,76.0,0.0
HSP90B1,3069.0,3841.0,3367.0,8274.0,457.0
C12orf73,127.0,73.0,54.0,279.0,10.0
TDG,265.0,446.0,264.0,757.0,34.0
GLT8D2,17.0,136.0,469.0,34.0,4.0
HCFC2,54.0,124.0,70.0,100.0,1.0
NFYB,139.0,234.0,256.0,468.0,26.0
TXNRD1,221.0,234.0,157.0,1088.0,19.0
EID3,31.0,35.0,33.0,50.0,2.0
CHST11,423.0,133.0,158.0,99.0,10.0
SLC41A2,83.0,31.0,57.0,531.0,10.0
C12orf45,342.0,188.0,138.0,683.0,16.0
ALDH1L2,11.0,6.0,78.0,16.0,0.0
KIAA1033,377.0,444.0,288.0,617.0,21.0
APPL2,58.0,149.0,113.0,474.0,10.0
C12orf75,681.0,914.0,656.0,11140.0,105.0
NUAK1,25.0,802.0,280.0,64.0,8.0
CKAP4,138.0,302.0,692.0,1082.0,42.0
TCP11L2,10.0,71.0,14.0,69.0,0.0
POLR3B,21.0,37.0,23.0,69.0,3.0
RIC8B,63.0,145.0,53.0,152.0,1.0
RP11-412D9.4,9.0,37.0,22.0,30.0,1.0
C12orf23,106.0,211.0,290.0,539.0,20.0
MTERFD3,49.0,131.0,98.0,150.0,1.0
CRY1,72.0,243.0,126.0,209.0,7.0
BTBD11,12.0,4.0,5.0,6.0,1.0
PWP1,257.0,578.0,326.0,732.0,25.0
PRDM4,52.0,105.0,40.0,191.0,4.0
WSCD2,1.0,2.0,0.0,7.0,0.0
CMKLR1,84.0,79.0,45.0,14.0,0.0
FICD,33.0,34.0,29.0,97.0,8.0
SART3,98.0,190.0,94.0,300.0,9.0
ISCU,1323.0,1841.0,1438.0,2544.0,81.0
TMEM119,24.0,17.0,393.0,20.0,2.0
SELPLG,403.0,52.0,36.0,236.0,5.0
CORO1C,706.0,612.0,366.0,797.0,23.0
SNORA40.1,3.0,7.0,2.0,5.0,0.0
SSH1,95.0,258.0,126.0,177.0,9.0
SVOP,1.0,0.0,1.0,1.0,0.0
USP30,29.0,44.0,31.0,100.0,3.0
USP30-AS1,83.0,9.0,8.0,59.0,0.0
ALKBH2,40.0,130.0,131.0,292.0,6.0
UNG,106.0,209.0,87.0,310.0,17.0
ACACB,35.0,356.0,64.0,129.0,5.0
KCTD10,77.0,394.0,186.0,250.0,8.0
UBE3B,90.0,213.0,79.0,369.0,10.0
MMAB,102.0,259.0,150.0,591.0,12.0
MVK,32.0,52.0,32.0,192.0,5.0
FAM222A,1.0,17.0,8.0,25.0,2.0
TRPV4,32.0,29.0,16.0,239.0,16.0
GLTP,236.0,443.0,210.0,536.0,38.0
TCHP,59.0,115.0,52.0,237.0,9.0
GIT2,312.0,439.0,137.0,289.0,16.0
ANKRD13A,143.0,193.0,102.0,340.0,8.0
C12orf76,103.0,200.0,128.0,272.0,14.0
IFT81,14.0,79.0,81.0,206.0,6.0
ATP2A2,358.0,652.0,505.0,1624.0,90.0
ANAPC7,139.0,206.0,131.0,385.0,13.0
ARPC3,6947.0,3677.0,2177.0,10133.0,427.0
GPN3,267.0,224.0,201.0,384.0,21.0
FAM216A,35.0,30.0,63.0,37.0,4.0
VPS29,1519.0,1320.0,908.0,2922.0,134.0
PPTC7,129.0,200.0,88.0,462.0,14.0
TCTN1,40.0,135.0,216.0,235.0,10.0
HVCN1,211.0,173.0,45.0,61.0,9.0
PPP1CC,689.0,746.0,821.0,1820.0,69.0
FAM109A,75.0,39.0,39.0,296.0,6.0
RP3-473L9.4,15.0,12.0,5.0,30.0,1.0
SH2B3,222.0,422.0,73.0,102.0,3.0
ATXN2,199.0,491.0,245.0,696.0,27.0
BRAP,61.0,116.0,57.0,197.0,6.0
ACAD10,47.0,71.0,37.0,133.0,6.0
ALDH2,1072.0,453.0,519.0,2825.0,64.0
MAPKAPK5-AS1,187.0,352.0,136.0,623.0,12.0
MAPKAPK5,133.0,170.0,102.0,405.0,15.0
RP3-462E2.5,7.0,10.0,2.0,21.0,1.0
TMEM116,38.0,19.0,41.0,134.0,3.0
ERP29,1795.0,1185.0,818.0,3495.0,130.0
NAA25,125.0,211.0,95.0,381.0,14.0
TRAFD1,111.0,142.0,76.0,260.0,6.0
HECTD4,55.0,119.0,58.0,244.0,10.0
RPL6,14972.0,15627.0,11337.0,21515.0,992.0
PTPN11,132.0,368.0,150.0,589.0,31.0
RPH3A,2.0,0.0,1.0,0.0,0.0
OAS1,373.0,217.0,177.0,1779.0,36.0
OAS3,172.0,237.0,88.0,868.0,11.0
OAS2,263.0,332.0,100.0,799.0,16.0
DTX1,6.0,12.0,46.0,8.0,0.0
RASAL1,14.0,11.0,10.0,163.0,5.0
CCDC42B,11.0,2.0,5.0,54.0,0.0
DDX54,208.0,313.0,187.0,644.0,26.0
RITA1,58.0,109.0,60.0,273.0,16.0
IQCD,12.0,11.0,15.0,99.0,1.0
TPCN1,119.0,102.0,127.0,339.0,13.0
SLC8B1,130.0,118.0,84.0,273.0,10.0
PLBD2,65.0,24.0,59.0,58.0,5.0
SDS,725.0,21.0,13.0,33.0,1.0
SDSL,310.0,54.0,81.0,265.0,15.0
LHX5,1.0,0.0,1.0,17.0,1.0
RBM19,86.0,109.0,48.0,158.0,5.0
TBX3,19.0,93.0,251.0,16.0,1.0
RP11-116D17.3,0.0,0.0,2.0,0.0,0.0
MED13L,188.0,817.0,236.0,485.0,25.0
MAP1LC3B2,92.0,186.0,53.0,261.0,8.0
